,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,58.78,224.73,364.42,201.46,1.75,2.03,179.80,0.97,376.28,0.87,0.31,1.55,1.86,2.54,2.42,0.32,25.46,31.23,3.45
2016,60.01,215.11,225.47,82.75,2.58,2.38,153.36,0.87,419.54,1.07,0.36,2.00,2.81,5.81,3.13,0.39,11.25,16.27,2.28
2015,60.43,236.33,265.85,105.57,4.14,2.32,157.32,1.22,299.18,1.46,0.48,3.98,8.07,11.82,6.31,1.02,44.98,5.57,12.39
2014,64.05,237.88,319.78,146.15,2.39,1.94,188.14,1.50,243.33,1.72,0.53,2.09,2.86,4.56,2.23,0.35,0.00,0.00,0.00
2013,51.87,205.97,154.09,81.81,4.30,2.41,151.45,1.81,201.65,2.84,0.69,4.86,9.44,11.88,5.49,1.20,27.15,58.74,18.83
2012,67.10,222.86,129.71,64.24,5.96,2.37,154.00,1.62,225.30,3.34,0.63,5.92,15.31,22.35,7.39,1.80,-9.82,-6.13,-11.76
2011,68.15,171.52,118.10,56.61,-1.19,1.43,255.24,1.14,320.17,1.64,0.37,-1.39,-5.81,-3.58,-5.27,-0.65,-2.05,11.88,-4.22
2010,58.31,204.80,144.19,77.61,1.53,2.03,179.80,1.33,274.43,2.16,0.54,0.89,0.52,3.39,0.40,0.06,17.24,4.03,13.62
2009,59.50,220.95,151.26,59.74,2.69,3.28,111.28,1.66,219.87,3.45,0.78,2.14,3.59,5.65,1.75,0.46,0.53,21.33,0.47
2008,66.12,174.32,130.46,54.50,1.47,2.23,163.67,1.10,331.81,2.01,0.49,2.04,2.02,7.87,1.21,0.25,0.00,0.0,0.00
2007,72.00,172.80,125.44,49.03,3.36,2.25,162.22,1.25,292.00,2.56,0.57,4.07,10.41,14.67,4.97,1.32,1.10,0.0,0.00
