,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,31.54,782.64,285.89,167.04,-7.14,5.32,68.60,1.70,214.70,7.91,0.78,-6.59,-10.01,-6.29,-9.36,-0.81,,,
2016,25.32,782.85,311.56,140.33,-22.52,5.80,62.93,1.01,361.38,2.33,0.51,-14.03,-21.83,-14.10,-28.20,-1.52,,,
2015,38.94,215.23,157.75,67.50,-6.26,7.70,47.40,0.97,376.28,1.73,0.51,-10.05,-19.91,-13.95,-21.85,-1.51,,,
2014,45.57,187.87,127.34,54.10,-3.91,10.02,36.42,1.30,280.76,2.23,0.68,-8.79,-20.00,-14.90,-15.23,-1.55,,,
2013,48.57,170.27,114.00,36.87,2.17,10.04,36.35,1.14,320.17,1.90,0.64,2.18,1.19,4.24,0.82,0.21,1.71,,1.14
2012,52.04,477.13,69.90,47.56,-16.86,4.88,74.79,3.20,114.06,4.48,0.47,-11.60,-23.03,-5.22,-25.43,-1.93,3.86,57.78,3.33
2011,43.45,565.92,69.84,35.99,-10.07,5.32,68.60,3.31,110.27,5.11,0.51,-5.72,-10.65,-1.47,-11.97,-0.99,7.31,76.48,3.96
2010,40.96,725.56,77.36,47.03,-23.85,6.67,54.72,3.24,112.65,5.11,0.49,-11.85,-20.03,-4.32,-24.84,-2.18,,58.91,
2009,37.24,735.10,89.33,39.09,-3.06,6.18,59.06,2.23,163.67,4.61,0.47,-2.20,-4.25,4.09,-5.55,-0.55,16.49,58.53,4.02
2008,39.94,670.15,98.41,39.13,1.30,6.16,59.25,2.33,156.65,5.06,0.53,0.95,0.99,10.23,1.17,0.14,2.29,63.89,-6.11
2007,34.97,705.44,167.81,94.08,35.16,12.92,28.25,3.40,107.35,7.06,0.80,8.63,12.56,22.11,10.54,1.82,51.68,80.92,10.71
2006,31.12,636.67,144.75,68.14,69.48,20.65,17.67,2.68,136.19,6.57,0.79,13.12,18.29,38.10,16.35,2.73,73.71,112.86,18.50
2005,27.16,662.96,235.53,156.39,166.77,16.52,22.09,3.20,114.06,6.94,0.93,20.48,27.57,49.52,21.93,3.97,108.86,233.71,18.40
2004,24.83,523.66,334.51,252.65,150.65,8.92,40.91,3.01,121.26,6.50,0.98,17.08,22.57,42.26,17.29,3.06,120.08,271.24,21.18
2003,24.71,509.48,296.21,203.33,162.57,6.48,56.32,2.23,163.67,5.32,0.87,15.82,20.72,38.17,18.03,2.69,107.22,213.06,22.05
2002,23.29,438.84,326.35,212.55,79.78,5.43,67.21,2.17,168.20,4.29,0.83,10.19,12.76,24.08,12.27,1.45,73.47,115.46,15.57
