,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,32.02,218.21,170.75,131.39,42.07,5.78,63.14,5.84,62.50,2.83,0.87,1.63,2.40,8.08,1.84,0.77,7.59,126.45,0.35
2016,34.77,215.90,169.74,133.67,87.64,4.88,74.79,5.66,64.48,2.96,0.81,3.26,5.06,17.52,3.96,1.39,10.38,119.32,0.26
2015,37.69,248.70,169.79,139.22,122.30,6.79,53.75,8.15,44.78,5.28,1.25,5.66,9.33,36.37,4.51,1.71,19.10,126.44,6.92
2014,41.54,264.67,162.73,128.77,13.77,7.53,48.47,9.90,36.86,6.20,1.45,1.11,1.74,4.54,0.71,0.33,31.00,91.92,6.98
2013,40.76,250.35,166.36,136.42,25.74,6.17,59.15,9.20,39.67,6.65,1.62,2.33,4.15,11.39,1.55,1.08,55.63,83.62,16.65
2012,36.22,739.57,147.23,146.82,52.13,7.31,49.93,17617.05,0.02,30.43,2.62,8.15,13.53,28.25,3.21,3.02,13.01,112.62,-0.56
2011,43.48,799.31,164.98,159.00,44.46,7.38,49.45,8203.53,0.04,33.46,2.71,6.34,11.02,24.16,2.33,2.45,26.50,111.18,2.31
2010,43.73,439.88,158.41,155.69,100.99,8.87,41.14,7395.89,0.04,19.97,2.90,14.69,24.47,55.52,4.57,5.39,42.01,166.09,9.44
2009,36.72,5966.28,171.66,168.68,3427.34,7.64,47.77,5480.59,0.06,234.80,2.49,17.41,26.29,42.45,5.88,5.00,33.09,200.82,12.18
2008,29.52,2388.98,173.22,172.80,497.93,9.63,37.90,4367.40,0.08,112.26,3.31,13.78,18.83,41.41,4.08,3.26,108.29,155.36,25.21
2007,24.23,4175.85,242.65,241.96,245.11,13.81,26.43,270.44,1.34,192.20,3.49,21.59,32.12,60.89,6.11,5.37,110.91,149.41,20.41
2006,42.02,507.22,174.72,168.10,56.47,10.06,36.28,112.96,3.23,19.38,2.62,9.09,18.14,27.98,3.62,2.50,56.45,73.65,13.52
2005,58.41,1275.49,135.70,131.57,32.98,8.23,44.34,102.26,3.56,41.32,1.96,8.23,19.30,14.34,3.64,2.42,25.26,64.04,15.38
2004,58.33,839.84,135.60,128.56,4.20,7.93,46.02,76.52,4.76,23.35,1.85,1.55,2.40,4.72,0.59,0.30,,,
2003,38.04,718.92,160.38,149.02,26.41,7.04,51.84,38.19,9.55,13.59,1.36,8.69,13.13,7.60,5.85,1.79,,35.75,
2002,35.17,346.26,81.26,65.71,8.79,4.19,87.11,9.98,36.57,3.12,0.58,6.17,8.61,1.39,9.39,1.10,11.35,69.04,1.57
2001,34.75,485.44,121.44,102.21,8.48,4.55,80.21,6.19,58.96,3.96,0.59,9.42,13.71,1.51,14.07,1.70,20.28,62.18,3.98
2000,40.95,352.52,130.51,84.61,7.94,6.21,58.77,4.89,74.64,3.18,0.67,7.89,10.57,4.83,9.13,1.26,13.95,73.50,3.42
1999,22.64,368.03,204.30,141.81,8.47,6.16,59.25,3.71,98.38,3.91,0.82,2.51,2.98,1.98,2.84,0.38,44.28,112.02,8.40
1998,26.92,402.95,193.74,119.51,2.99,5.51,66.24,4.73,77.17,6.61,1.21,2.58,2.66,2.67,1.61,0.36,24.50,92.48,8.56
1997,35.50,565.63,173.25,110.04,8.99,4.98,73.29,3.79,96.31,9.05,1.03,5.72,8.13,12.61,4.37,1.22,2.07,77.86,-1.32
1996,39.59,479.59,172.33,99.61,4.90,5.31,68.74,4.36,83.72,10.46,1.32,6.47,9.23,14.61,3.66,1.31,52.24,92.16,30.13
1995,49.16,414.11,138.97,89.81,3.78,4.51,80.93,4.80,76.04,10.55,1.29,6.87,10.44,21.09,3.39,1.43,-14.26,15.1,-15.93
1994,54.18,257.40,135.16,86.39,5.43,5.41,67.47,5.22,69.92,8.84,1.57,9.23,16.12,29.57,4.35,1.95,5.17,4.97,5.19
1993,52.29,216.26,131.02,77.30,4.95,4.94,73.89,4.24,86.08,6.30,1.39,9.20,16.27,28.03,4.98,1.90,9.80,2.36,9.08
