,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,43.30,212.51,128.70,72.44,7.04,8.19,44.56,4.98,73.29,3.63,1.08,3.42,5.07,13.77,2.67,1.06,14.72,109.82,2.41
2016,42.72,221.36,136.77,82.41,11.61,7.59,48.08,4.54,80.39,2.86,0.90,4.08,6.23,19.47,4.06,1.20,9.11,103.78,-0.18
2015,39.73,222.97,155.35,95.02,5.14,7.21,50.62,4.25,85.88,2.61,0.82,2.31,3.32,7.82,2.31,0.64,52.71,,8.62
2014,45.29,225.50,149.91,93.75,8.77,8.03,45.45,4.86,75.10,3.14,0.96,4.24,6.97,18.74,3.90,1.38,19.49,,2.27
2013,47.40,220.89,142.69,89.73,12.37,7.17,50.90,5.13,71.15,3.36,1.00,5.42,9.66,26.73,4.98,1.90,39.19,89.70,4.99
2012,25.39,699.53,128.02,73.18,93.86,6.70,54.47,6.34,57.57,7.55,0.80,11.44,15.61,15.48,15.09,3.27,65.37,80.21,-3.66
2011,24.16,822.35,176.20,117.35,363.44,8.20,44.51,7.66,47.65,9.87,0.91,29.06,38.12,46.61,27.86,8.03,60.01,92.50,0.39
2010,23.75,748.06,189.19,128.39,205.00,8.03,45.45,7.77,46.97,8.71,0.90,20.26,26.14,26.89,21.48,5.05,54.09,77.74,-2.21
2009,21.87,750.66,243.47,182.03,105.00,5.15,70.87,6.00,60.83,6.15,0.66,14.95,19.38,22.85,22.71,3.59,96.10,102.26,1.84
2008,25.15,639.55,239.01,197.60,31.00,8.10,45.06,10.58,34.49,8.62,1.09,17.53,23.40,37.24,15.90,4.26,125.83,99.89,2.44
2007,28.72,585.12,172.00,129.55,40.00,6.89,52.97,7.69,47.46,6.23,0.80,21.65,29.51,21.74,24.74,5.02,87.47,103.77,5.04
2006,27.60,483.34,148.42,99.31,33.00,7.22,50.55,7.80,46.79,5.14,0.81,15.53,20.79,14.26,17.61,3.14,-4.51,81.29,-7.51
2005,26.94,426.15,169.02,126.00,43.00,8.15,44.78,7.75,47.09,3.80,0.93,15.29,21.05,27.24,15.72,3.03,95.91,118.68,7.36
2004,31.07,248.53,192.36,131.00,25.00,8.48,43.04,7.35,49.65,2.43,0.84,10.41,14.41,12.28,11.42,1.90,48.22,64.22,2.57
2003,29.48,213.86,148.00,80.00,8.95,8.98,40.64,6.31,57.84,1.74,0.70,5.63,7.81,4.38,7.50,0.95,62.29,31.14,5.56
2002,33.79,192.51,100.48,45.93,52.12,7.43,49.12,4.69,77.82,1.26,0.53,0.56,0.49,0.76,0.62,0.06,16.67,49.69,0.87
2001,30.89,201.71,134.60,62.51,88.81,6.43,56.76,4.93,74.03,1.23,0.52,1.56,1.89,3.86,2.46,0.22,40.82,52.69,3.96
2000,36.88,212.67,142.54,96.98,-102.04,6.44,56.67,5.80,62.93,1.34,0.52,-1.87,-3.29,-0.44,-4.10,-0.39,5.92,72.94,0.79
1999,27.11,218.38,123.58,69.97,-2.77,5.86,62.28,5.46,66.84,1.32,0.48,-1.67,1.60,3.34,-2.36,-0.20,21.82,117.78,2.77
1998,29.91,226.68,135.19,102.91,2.48,6.41,56.94,7.13,51.19,1.50,0.53,2.13,1.88,6.18,2.46,0.25,32.14,134.82,5.09
1997,14.26,283.23,283.09,263.71,67.09,7.61,47.96,6.72,54.32,2.34,0.71,15.11,17.83,11.43,19.35,2.39,42.59,128.28,4.08
1996,18.66,256.37,228.98,163.94,57.65,8.86,41.20,5.35,68.22,2.84,0.91,18.46,22.62,41.74,20.21,3.69,148.06,153.02,5.84
1995,20.83,249.37,282.55,201.77,45.06,9.53,38.30,5.73,63.70,2.79,0.90,23.19,29.74,48.91,22.75,4.20,149.34,168.96,21.99
1994,27.04,180.17,191.92,143.60,9.44,9.24,39.50,5.96,61.24,1.77,0.75,13.97,17.76,16.48,16.58,2.48,44.73,86.79,3.58
1993,29.32,177.50,184.81,141.88,9.67,8.98,40.64,4.62,79.00,1.39,0.59,8.52,10.76,11.73,12.64,1.41,48.94,93.07,5.07
1992,26.76,246.11,252.48,198.15,10.48,7.81,46.73,4.06,89.90,1.84,0.59,6.33,7.70,10.40,9.86,1.01,42.21,107.71,0.14
