,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,26.31,730.13,332.12,282.63,-44.68,3.38,107.98,7.00,52.14,9.98,0.99,-3.07,-4.22,-4.71,-3.16,-0.46,10.15,189.31,3.34
2016,25.58,785.72,354.16,295.87,-29.51,3.21,113.70,5.80,62.93,8.44,0.85,-1.97,-2.62,-2.52,-2.37,-0.29,-41.61,13.50,-12.76
2015,19.86,767.97,456.25,392.09,-60.29,3.73,97.85,7.10,51.40,9.58,0.94,-4.00,-5.57,-6.86,-4.32,-0.63,-14.64,-30.73,-3.20
2014,32.86,746.70,274.57,232.65,-22.96,2.03,179.80,7.51,48.60,12.04,0.91,-3.33,-6.22,-7.48,-3.78,-0.71,78.32,-30.93,29.14
2013,52.27,742.79,174.94,154.26,35.17,3.85,94.80,13.61,26.81,27.21,2.01,5.73,11.20,14.55,2.77,1.38,-5.17,-99.90,-7.28
2012,12.03,784.60,277.55,240.24,48126.29,7.62,47.90,6.17,59.15,4.08,0.46,7.51,8.55,3.96,16.00,0.94,69.76,33.84,7.14
2011,12.34,439.87,348.71,305.20,13.64,2.41,151.45,5.71,63.92,2.76,0.55,0.26,0.30,0.27,0.50,0.03,154.51,-8.08,19.98
2010,32.32,442.49,208.13,186.45,-133.12,3.28,111.28,8.92,40.91,3.40,0.52,-9.33,-12.27,-10.05,-15.51,-1.40,-54.52,66.39,-23.02
2009,11.27,401.07,491.97,451.57,-36748.83,3.83,95.30,5.39,67.71,1.19,0.26,-13.15,-14.92,-11.96,-42.69,-2.35,30.77,176.02,3.34
2008,12.71,258.35,311.73,239.68,2037.32,5.23,69.78,6.00,60.83,1.64,0.55,1.73,2.03,4.23,3.31,0.27,-26.36,172.49,-3.08
2007,16.79,280.03,262.93,215.65,2786.26,7.25,50.34,7.21,50.62,1.81,0.54,1.62,1.93,1.43,2.96,0.25,26.54,209.25,4.43
2006,16.00,263.94,261.45,218.59,149.36,3.46,105.49,5.46,66.84,1.62,0.51,0.32,0.40,0.97,0.67,0.05,79.30,225.38,10.03
2005,24.20,278.43,210.31,166.16,98.39,3.30,110.60,9.53,38.30,3.89,1.06,2.53,3.70,5.78,2.73,0.48,25.51,288.57,5.20
2004,38.19,290.98,152.99,129.92,29.22,4.74,77.00,16.02,22.78,6.95,1.48,3.36,5.51,11.00,2.23,0.73,1.71,158.54,0.00
2003,42.86,313.41,177.84,150.71,94.11,5.43,67.21,15.18,24.04,7.14,1.47,12.59,21.56,41.17,7.89,3.36,35.61,146.23,17.81
2002,41.37,264.22,160.16,139.08,20.63,4.70,77.65,16.88,21.62,5.86,1.30,7.90,13.33,30.25,5.51,2.14,31.06,126.47,19.87
2001,45.69,265.64,185.13,168.03,0.00,3.71,98.38,23.12,15.78,4.46,1.09,-4.63,-9.47,-10.86,-4.96,-1.53,49.94,90.57,20.59
2000,33.77,235.80,342.07,314.80,0.00,4.13,88.37,19.44,18.77,3.76,1.31,0.16,-1.62,7.44,-0.71,-0.25,0.00,58.40,0.00
1999,35.30,237.40,188.62,154.22,14.04,4.28,85.28,16.62,21.96,5.92,1.65,8.83,14.43,57.25,4.41,2.09,19.53,69.31,9.24
1998,52.57,263.64,160.46,141.14,8.10,3.90,93.59,24.20,15.08,9.05,1.94,11.91,22.87,49.94,5.04,3.19,51.03,66.86,36.12
