,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,81.96,52.66,58.41,34.31,-894.67,2.66,137.21,5.84,62.50,1.42,0.65,-13.32,-58.36,-30.42,-22.12,-3.09,2.73,52.52,1.56
2016,69.96,130.15,119.10,86.22,17.20,3.56,102.52,7.43,49.12,2.03,0.90,-1.39,-7.95,-3.00,-2.70,-0.68,12.89,72.52,3.86
2015,68.85,129.14,115.82,77.23,433.13,3.40,107.35,5.35,68.22,1.73,0.76,-1.76,-9.02,-5.85,-3.73,-0.83,18.64,59.93,6.42
2014,68.47,123.59,110.98,65.69,-100.31,3.04,120.06,4.21,86.69,1.50,0.67,-2.79,-11.90,-9.64,-5.83,-1.30,5.66,45.48,2.30
2013,65.59,123.72,123.54,75.37,40.02,2.84,128.52,4.14,88.16,1.42,0.63,-0.86,-5.66,-2.64,-3.10,-0.68,-5.47,61.62,-2.03
2012,53.90,188.92,91.41,54.32,200.06,3.98,91.70,5.73,63.69,1.75,0.56,1.55,1.72,-1.73,1.47,0.20,9.28,59.76,1.00
2011,52.23,187.63,100.04,55.89,205.09,4.22,86.49,5.46,66.84,1.89,0.62,2.35,3.45,-5.39,2.61,0.40,6.03,70.72,-0.04
2010,54.43,162.54,100.18,62.71,424.94,3.73,97.85,5.85,62.39,1.58,0.57,3.52,6.19,-7.94,4.97,0.71,-5.32,64.64,-1.68
2009,55.30,103.86,61.89,41.51,-97.93,4.61,79.17,6.12,59.64,1.37,0.60,-0.59,-2.57,-4.40,-1.97,-0.31,9.99,67.35,4.18
2008,54.88,103.08,67.51,41.58,6.79,4.35,83.90,5.41,67.46,1.44,0.63,-0.04,-1.78,-5.85,-1.28,-0.22,12.09,55.9,4.34
2007,56.65,150.21,129.74,72.30,477.05,3.70,98.64,5.38,67.84,1.61,0.69,3.13,5.57,-0.28,3.48,0.71,25.47,53.65,4.57
2006,54.79,141.18,144.83,83.45,296.28,3.23,113.00,4.60,79.34,1.52,0.72,2.11,3.22,-5.31,2.04,0.41,17.46,52.24,1.72
2005,53.68,139.15,146.44,83.36,546.34,4.03,90.57,5.16,70.73,1.81,0.83,3.38,5.80,3.57,3.14,0.72,22.86,62.19,3.66
2004,50.95,134.43,150.07,86.04,663.76,5.34,68.35,5.52,66.12,2.05,0.93,4.86,8.24,8.89,4.26,0.98,2.54,106.21,-0.49
2003,48.64,123.53,143.88,82.67,303.55,4.93,74.03,4.74,77.00,1.40,0.79,2.70,3.29,5.40,2.20,0.38,18.84,150.52,4.15
2002,44.96,125.38,152.87,95.34,142.98,4.79,76.20,5.46,66.84,1.18,0.74,1.52,0.51,4.79,0.38,0.06,40.69,148.99,6.35
2001,45.02,119.96,146.42,85.82,120.98,4.75,76.84,5.34,68.35,1.02,0.67,1.75,0.54,2.17,0.43,0.06,24.02,121.17,3.86
2000,49.85,88.27,68.53,39.37,112.08,5.23,69.78,4.96,73.58,1.12,0.70,1.44,-0.99,9.31,-0.68,-0.11,36.34,88.56,14.81
1999,52.82,95.96,68.62,36.52,21.94,5.23,69.78,3.95,92.40,1.07,0.66,0.23,-2.73,1.41,-2.09,-0.30,16.38,45.23,7.37
1998,45.33,101.79,85.72,37.80,175.67,5.10,71.57,4.06,89.90,1.14,0.69,2.89,2.11,6.02,1.62,0.25,28.65,35.12,10.58
1997,48.58,101.90,94.80,62.41,31.92,3.96,92.17,4.03,90.57,0.94,0.59,1.01,-1.50,-0.61,-1.31,-0.21,3.53,27.64,1.62
1996,38.23,111.41,122.26,46.74,245.95,5.72,63.81,3.04,120.07,0.92,0.62,4.20,4.91,9.85,4.45,0.64,7.78,27.2,2.07
1995,50.67,96.31,86.71,46.44,362.88,5.11,71.43,3.82,95.55,1.11,0.69,5.80,8.76,18.33,6.30,1.22,21.79,49.46,8.53
1994,49.37,113.67,118.37,73.96,453.22,5.20,70.19,3.73,97.86,1.40,0.80,7.25,11.78,21.91,7.30,1.75,22.31,55.11,10.09
1993,52.14,102.17,100.77,51.20,461.18,4.88,74.80,3.65,100.00,1.51,0.88,6.82,10.88,22.57,6.09,1.52,24.58,62.11,12.04
