,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,41.31,910.68,197.30,67.52,24.03,10.14,35.99,0.66,553.03,7.87,0.49,7.75,14.09,29.87,15.10,3.17,22.85,-62.26,8.62
2016,53.92,798.26,162.57,46.22,-5.33,3.23,113.00,0.26,1403.84,2.69,0.18,-2.25,-5.32,-8.97,-14.82,-0.79,-14.07,-94.46,-14.32
2015,47.74,959.15,262.90,79.27,-5.57,4.30,84.88,0.42,869.04,3.16,0.25,-3.25,-6.91,-6.44,-14.78,-0.88,-34.24,-88.94,-16.59
2014,46.15,901.98,357.91,144.31,1.42,3.33,109.60,0.61,598.36,1.89,0.27,-0.74,-2.26,-9.63,-4.47,-0.33,-79.62,-54.08,-21.24
2013,48.18,308.35,198.58,107.94,-6.85,4.46,81.83,1.44,253.47,1.98,0.50,-7.39,-15.99,-15.08,-16.40,-2.40,0.00,0.00,0.00
2012,47.61,191.53,101.58,30.24,-14.53,6.24,58.49,9.03,40.42,0.80,0.21,-9.88,-19.48,-13.33,-48.98,-2.02,0.00,0.00,0.00
2011,45.41,301.78,209.64,84.87,-12.03,4.33,84.29,3.08,118.50,0.61,0.15,-5.31,-8.78,-13.66,-32.30,-0.99,0.00,0.00,0.00
2010,22.36,563.50,183.57,34.31,0.00,5.00,73.00,1.14,320.17,1.50,0.21,-2.39,-2.87,-6.10,-11.19,-0.34,-158.40,-68.71,-30.19
2009,10.31,613.43,627.43,502.94,0.00,5.23,69.78,3.66,99.72,1.68,0.25,0.54,0.61,-3.76,2.22,0.08,58.70,149.01,0.86
2008,13.00,583.15,427.88,320.92,-815.57,6.14,59.44,4.47,81.65,2.30,0.35,-2.49,-2.84,-0.49,-7.20,-0.35,151.62,783.26,7.31
2007,12.75,581.26,382.77,281.07,6.39,6.69,54.55,5.61,65.06,2.45,0.37,1.03,1.08,-2.33,2.46,0.13,18.35,773.67,0.94
2006,21.39,537.87,74.69,43.43,13.50,5.76,63.36,5.09,71.70,1.99,0.31,4.32,5.44,-4.09,13.17,0.61,36.13,976.47,5.13
2005,29.00,432.50,69.37,46.85,-7.22,3.69,98.91,4.45,82.02,1.14,0.32,-3.90,-6.14,-5.68,-13.00,-0.68,20.10,855.07,4.09
2004,33.75,169.02,69.20,44.15,0.72,4.72,77.33,4.99,73.14,1.15,0.46,-0.27,-0.94,-1.70,-1.33,-0.05,6.96,48.86,1.57
2003,36.58,157.34,62.71,37.85,1.19,5.43,67.21,4.68,77.99,1.12,0.47,0.87,0.29,-2.03,0.38,0.02,1.52,65.61,0.39
2002,40.38,142.57,49.05,27.51,1.11,8.15,44.78,7.11,51.33,1.40,0.60,1.39,0.32,-2.16,0.32,0.02,12.36,5.94,3.13
2001,45.20,126.80,43.84,24.95,-5.11,5.28,69.12,5.30,68.86,1.17,0.51,-11.33,-25.22,-3.69,-30.99,-1.68,10.47,-5.76,4.18
2000,47.11,122.63,56.52,37.87,-13.87,5.77,63.25,8.01,45.56,1.36,0.59,-21.66,-36.94,-19.79,-40.49,-3.35,-27.24,-5.76,-13.99
1999,27.64,189.35,84.56,54.15,-2.28,6.38,57.21,6.36,57.38,1.62,0.62,-2.43,-4.81,-3.92,-5.78,-0.53,21.52,16.64,5.53
1998,26.77,186.61,87.40,46.99,-2.14,5.89,61.97,5.25,69.52,1.44,0.57,-3.33,-5.85,-9.26,-7.84,-0.68,-0.60,4.68,-0.16
1997,23.88,190.13,124.74,71.68,1.95,5.42,67.34,4.98,73.29,1.50,0.71,2.63,2.11,-7.03,2.18,0.28,3.43,20.68,0.74
1996,30.61,130.58,124.98,64.70,-4.46,5.32,68.61,5.97,61.14,1.66,0.93,-4.43,-7.34,-11.88,-5.54,-0.90,9.00,30.51,2.49
1995,28.61,135.81,154.41,93.26,-1.14,4.78,76.36,5.50,66.36,1.46,0.78,-1.14,-2.98,0.76,-2.67,-0.39,-2.50,33.85,-0.63
1994,31.79,142.66,149.80,110.54,3.49,5.77,63.25,7.22,50.55,1.50,0.73,5.97,6.67,2.72,6.59,0.98,3.47,43.1,1.15
1993,22.98,165.94,209.13,178.40,18.72,5.04,72.42,8.38,43.56,2.12,0.93,9.92,12.66,15.29,10.46,1.87,45.93,64.65,12.18
1992,24.50,194.25,213.87,161.09,134.20,5.92,61.66,9.47,38.54,3.69,1.60,22.86,30.19,41.78,14.22,3.95,57.37,92.33,15.66
