,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,42.61,675.03,211.43,178.19,654.76,3.61,101.10,11.50,31.73,19.44,1.69,6.02,9.48,19.16,3.27,1.61,25.82,75.10,10.87
2016,41.61,663.92,216.56,184.13,223.07,3.84,95.05,12.42,29.38,19.40,1.77,6.77,11.49,21.29,3.80,1.85,14.04,36.54,3.63
2015,41.10,627.55,217.77,184.45,36.66,3.56,102.52,10.00,36.50,17.55,1.67,5.64,10.96,18.39,3.36,1.65,36.87,6.78,20.74
2014,58.42,453.50,187.11,151.12,15.21,3.49,104.58,9.12,40.02,16.06,1.47,3.76,8.10,13.98,2.24,1.18,-5.02,-49.92,-8.27
2013,54.59,422.05,154.12,126.04,22.43,3.75,97.33,9.53,38.30,13.54,1.46,3.19,6.14,10.38,1.91,0.87,-23.88,-49.98,-32.13
2012,44.31,426.63,187.50,151.44,333.29,3.97,91.93,9.12,40.02,12.52,1.63,3.30,5.86,8.38,1.99,0.82,11.50,45.12,3.90
2011,43.20,408.12,190.89,148.17,399.67,4.46,81.83,11.57,31.54,11.90,1.66,2.34,3.77,5.66,1.32,0.54,1.07,70.96,0.77
2010,32.76,431.98,239.46,205.04,572.41,4.86,75.10,15.87,22.99,10.70,1.67,3.83,5.55,6.17,2.23,0.80,-0.46,180.53,-3.49
2009,29.30,606.45,258.56,224.12,323.02,4.93,74.03,15.55,23.47,12.32,1.44,2.96,4.10,4.33,1.97,0.58,2.87,238.73,1.14
2008,26.44,566.78,290.07,260.40,2361.30,5.73,63.69,18.42,19.81,14.08,1.83,2.83,4.05,2.94,1.62,0.54,30.65,354.23,5.95
2007,33.76,542.01,225.77,196.23,422.63,4.61,79.17,12.85,28.40,12.79,1.56,1.22,1.85,1.69,0.77,0.27,11.98,373.04,5.79
2006,35.16,548.14,251.75,216.45,1.66,3.88,94.07,9.45,38.62,10.60,1.36,0.29,0.18,1.16,0.08,0.02,23.01,359.02,9.06
2005,40.49,475.94,190.96,158.33,1.84,3.93,92.87,7.51,48.60,9.88,1.24,1.42,2.01,1.51,0.93,0.28,0.23,176.24,0.14
2004,46.25,426.25,165.92,132.70,2.39,3.79,96.30,7.17,50.90,9.75,1.23,1.73,2.65,3.50,1.14,0.39,24.98,107.98,20.06
2003,51.57,392.08,196.63,163.38,3.64,3.81,95.80,6.48,56.32,7.89,1.20,2.14,3.51,7.18,1.39,0.56,3.60,38.63,2.23
2002,47.83,376.69,155.32,111.03,3.04,4.08,89.46,5.66,64.48,10.49,1.45,2.04,2.95,10.43,1.05,0.50,11.37,42.07,9.88
2001,48.04,379.96,174.55,116.07,2.81,3.58,101.95,4.94,73.88,9.85,1.47,3.68,5.22,17.46,1.79,1.02,30.67,0.00,22.25
2000,54.25,270.23,160.58,102.24,4.21,4.31,84.68,6.74,54.15,7.58,1.41,5.33,8.94,28.27,2.18,1.83,0.00,0.00,0.00
1999,50.40,343.73,203.62,142.46,6.24,5.11,71.42,9.27,39.37,11.80,2.04,8.69,13.43,26.54,2.75,2.25,0.00,0.00,0.00
1998,35.15,451.42,250.87,164.77,7.71,5.58,65.41,9.02,40.46,16.68,2.43,11.19,17.95,28.23,3.47,2.80,0.00,0.00,0.00
