,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,61.52,140.61,117.21,67.86,11.06,3.11,117.36,1.82,200.54,2.03,0.6,2.78,6.36,28.64,4.08,1.83,2.43,63.34,0.86
2016-01-01,55.97,182.54,150.08,84.4,7.28,2.61,139.84,1.6,228.12,1.9,0.55,2.44,5.11,21.41,3.71,1.42,31.76,101.12,19.7
2015-01-01,59.09,169.47,136.53,78.44,12.56,2.48,147.17,1.71,213.45,1.95,0.58,4.56,10.71,39.21,7.24,2.98,3.36,35.38,-2.13
2014-01-01,58.35,158.06,132.95,75.5,16.02,3.14,116.24,1.89,193.12,2.34,0.69,5.28,11.31,39.33,7.15,2.97,2.84,47.35,-2.41
2013-01-01,51.31,198.96,152.09,77.69,19.77,2.91,125.42,1.65,221.21,2.33,0.64,5.38,10.02,32.5,7.89,2.57,14.63,69.59,5.18
2012-01-01,45.3,251.12,134.55,72.07,19.29,3.23,113.0,2.09,174.64,3.55,0.77,6.4,11.93,34.86,7.92,2.9,27.59,56.45,12.92
2011-01-01,52.7,231.0,127.5,64.24,20.22,3.35,108.95,2.09,174.64,3.3,0.76,6.16,12.05,20.02,7.71,2.8,-0.05,36.89,-0.07
2010-01-01,49.72,200.68,125.22,66.34,29.38,3.96,92.17,2.1,173.8,2.85,0.76,6.85,12.17,31.53,8.77,2.62,5.11,68.87,2.19
2009-01-01,40.41,217.15,150.71,74.87,3.17,2.35,155.31,1.07,341.12,1.49,0.4,1.51,2.06,5.0,2.97,0.43,32.24,74.06,14.73
2008-01-01,42.66,271.69,219.08,92.47,26.15,5.09,71.7,2.21,165.15,3.95,1.01,11.46,18.57,54.67,10.87,4.34,0.34,46.48,-11.53
2007-01-01,38.52,246.65,166.58,71.17,13369.59,5.24,69.65,2.5,146.0,5.16,1.09,18.05,31.21,70.01,15.06,6.62,43.63,57.17,12.97
2006-01-01,48.17,314.16,189.84,95.91,69.52,4.4,82.95,2.83,128.97,6.95,1.28,18.08,35.57,73.44,13.97,6.79,56.27,49.77,20.12
2005-01-01,51.8,293.77,141.86,77.21,53.85,3.59,101.67,2.97,122.89,7.67,1.29,16.19,33.88,65.37,12.33,5.77,8.9,24.57,-1.18
2004-01-01,54.55,262.58,133.69,72.8,93.48,3.62,100.82,3.29,110.94,7.36,1.33,16.74,33.17,56.73,12.5,5.03,9.68,20.46,2.83
2003-01-01,43.06,297.77,161.86,100.04,102.19,3.81,95.8,3.11,117.36,6.06,1.26,17.54,29.13,39.01,13.8,3.94,-7.06,-9.04,-0.09
2002-01-01,36.57,275.8,192.62,99.94,43.82,3.07,118.89,2.32,157.32,3.72,0.77,7.81,11.01,9.26,8.72,1.28,15.01,60.25,4.78
2001-01-01,22.56,335.64,359.69,234.56,9.05,2.29,159.38,1.88,194.14,2.54,0.63,2.96,3.42,4.05,4.16,0.38,18.42,105.56,2.13
2000-01-01,24.97,328.96,359.94,209.66,10.83,2.8,130.35,2.02,180.69,2.75,0.71,4.4,5.36,7.42,5.63,0.59,24.81,73.11,4.97
1999-01-01,25.62,304.27,326.64,199.81,13.97,2.49,146.58,1.91,191.09,2.5,0.67,5.95,7.4,9.41,8.27,0.88,23.85,71.1,-1.5
1998-01-01,23.9,249.27,312.62,197.5,70.01,3.27,111.62,2.27,160.79,3.33,0.94,14.48,19.12,28.85,15.11,2.31,59.59,47.43,15.7
1997-01-01,26.94,302.31,301.59,190.88,14.1,3.17,115.14,1.92,190.1,3.24,0.88,13.34,19.91,23.39,14.1,2.58,35.45,15.51,10.74
