,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,37.10,381.31,236.16,173.42,18.10,4.41,82.76,3.19,114.42,2.80,0.55,2.72,6.24,21.74,6.96,1.56,31.43,126.72,4.18
2016,39.68,369.12,238.92,170.96,19.47,4.36,83.71,2.98,122.48,2.98,0.54,4.82,7.53,24.63,8.09,2.02,25.58,117.03,3.09
2015,39.09,377.76,186.19,129.42,22.99,4.62,79.00,2.90,125.86,3.29,0.58,4.41,6.71,22.79,7.23,1.60,24.40,118.38,3.86
2014,35.76,381.01,238.59,170.66,25.52,5.15,70.87,3.28,111.28,3.60,0.67,5.32,8.84,27.31,7.56,2.06,26.38,117.23,3.85
2013,39.23,322.73,204.38,142.12,31.31,5.55,65.76,3.61,101.10,3.82,0.76,5.23,9.40,25.38,6.64,2.01,31.23,144.75,6.85
2012,34.85,1382.57,155.35,102.00,3186.19,4.83,75.56,4.73,77.16,7.24,0.43,5.15,7.87,9.50,11.64,1.63,43.39,200.54,3.51
2011,38.08,1385.36,163.81,99.02,26.79,4.87,74.94,5.50,66.36,7.34,0.45,4.97,7.65,6.44,10.79,1.52,14.63,83.80,-0.21
2010,35.89,1330.62,156.49,100.20,36.52,4.95,73.73,5.19,70.32,6.18,0.40,4.61,7.00,5.35,11.18,1.38,27.89,72.24,2.11
2009,35.91,1272.33,182.21,117.99,12.46,3.71,98.38,4.46,81.83,4.97,0.35,3.74,5.70,4.48,10.04,1.09,62.81,89.02,5.70
2008,41.23,1080.96,145.65,94.77,6.91,4.64,78.66,6.19,58.96,7.34,0.50,3.64,5.23,5.37,6.35,1.00,18.17,68.94,0.05
2007,36.58,1235.04,153.63,94.84,12.35,4.52,80.75,6.03,60.53,7.38,0.48,4.99,7.31,4.66,9.72,1.44,19.00,61.71,1.07
2006,36.26,1199.34,132.41,80.78,11.06,4.36,83.71,5.78,63.14,7.03,0.48,4.44,6.69,4.37,8.53,1.26,22.82,58.1,2.61
2005,41.29,1054.24,125.85,75.45,955.00,4.14,88.16,5.48,66.60,6.26,0.49,3.62,5.84,3.07,6.79,0.97,12.35,58.4,2.88
2004,44.82,876.25,128.15,76.24,-95.38,4.11,88.80,5.54,65.88,6.24,0.46,-0.30,-1.27,4.25,-1.52,-0.21,19.89,23.17,3.36
2003,45.21,1192.20,123.89,75.29,208.89,3.81,95.80,5.77,63.25,4.32,0.38,1.20,1.32,2.84,1.88,0.23,3.44,13.61,-0.93
2002,45.68,657.59,103.84,71.76,190.59,2.98,122.48,5.23,69.78,2.51,0.30,1.72,1.69,3.46,3.15,0.28,13.48,20.57,3.13
2001,42.99,652.80,146.58,113.89,89.41,2.88,126.73,5.26,69.39,2.53,0.35,1.00,0.31,-4.18,0.50,0.05,15.20,20.51,2.22
2000,45.75,513.67,123.91,87.09,224.51,3.11,117.36,4.39,83.14,2.12,0.38,3.61,4.15,2.62,6.31,0.67,0.27,21.86,0.05
1999,36.96,390.26,304.98,235.24,517.21,3.88,94.07,4.74,77.00,1.99,0.44,6.36,8.52,6.87,12.20,1.36,15.73,31.62,-1.36
1998,38.31,419.01,370.85,298.35,426.14,4.25,85.88,4.31,84.69,2.14,0.43,5.38,6.82,7.76,8.81,1.35,59.52,44.04,6.20
1997,34.34,289.95,225.73,150.17,782.24,4.46,81.84,4.01,91.02,2.03,0.55,7.74,11.61,12.00,11.62,2.44,26.31,46.54,4.00
1996,47.03,235.95,188.96,115.92,600.48,4.51,80.93,3.92,93.11,1.94,0.62,7.93,12.63,16.22,9.78,2.61,36.82,59.53,4.11
1995,45.38,253.44,145.49,78.90,1178.65,4.90,74.49,3.62,100.83,2.84,0.78,8.79,14.55,25.73,9.68,2.89,22.06,67.43,3.64
1994,42.81,271.51,179.54,108.71,2000.16,5.85,62.39,3.71,98.38,2.98,0.80,10.90,17.36,30.24,11.48,3.60,26.55,97.85,4.33
1993,36.52,216.76,130.03,64.44,2207.81,6.18,59.06,3.60,101.39,2.69,0.87,10.48,15.83,29.82,11.01,3.20,45.88,91.13,11.83
1992,36.61,245.16,143.73,76.69,16.57,5.78,63.15,3.19,114.42,2.83,0.81,10.09,14.94,30.55,11.31,3.08,50.95,94.53,13.22
