,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,60.57,101.64,94.71,79.99,6.40,2.79,130.82,8.28,44.08,1.93,0.88,5.71,12.27,18.23,5.50,1.63,16.90,95.63,7.39
2016,60.28,85.20,83.29,70.05,-0.93,2.71,134.68,8.74,41.76,1.41,0.72,-2.51,-7.99,-5.94,-4.55,-1.11,7.79,101.25,2.90
2015,57.58,89.52,84.78,74.60,-7.46,2.15,169.76,8.16,44.73,0.98,0.55,-7.60,-19.11,-32.90,-16.47,-3.16,0.81,116.23,-0.35
2014,53.96,104.04,101.69,89.84,1.51,2.61,139.84,8.57,42.59,1.12,0.59,1.06,0.55,1.99,0.43,0.10,16.93,119.84,4.91
2013,54.31,96.82,94.06,83.14,-0.25,3.02,120.86,9.12,40.02,1.07,0.58,-0.70,-3.09,-4.34,-2.43,-0.50,11.18,115.66,3.85
2012,19.33,848.17,95.74,85.27,11.36,2.94,124.14,10.58,34.49,2.57,0.25,0.94,1.07,3.74,3.43,0.20,26.97,130.67,0.73
2011,19.79,807.16,82.49,71.07,74.26,3.18,114.77,10.85,33.64,2.86,0.30,4.74,5.88,6.91,15.66,1.10,33.98,125.52,1.45
2010,21.24,720.12,88.69,77.20,96.73,3.39,107.66,11.82,30.87,3.04,0.34,6.99,8.81,6.52,20.59,1.60,31.44,122.47,2.24
2009,21.57,704.86,89.79,78.38,36.33,2.71,134.68,9.50,38.42,2.13,0.25,4.10,5.10,4.40,16.00,0.95,30.50,119.44,0.94
2008,21.22,645.31,95.92,85.79,56.73,2.98,122.48,8.11,45.00,2.35,0.30,7.57,9.56,9.75,25.20,1.74,135.77,105.97,15.47
2007,22.47,621.89,147.89,128.41,199.60,2.49,146.58,7.70,47.40,2.52,0.34,17.89,23.57,15.80,52.60,4.14,65.52,70.13,5.58
2006,26.68,518.33,110.60,100.99,64.14,2.58,141.47,13.26,27.52,3.21,0.51,16.45,24.14,22.35,31.89,3.99,72.20,67.59,17.85
2005,39.53,376.96,116.17,107.35,45.96,2.87,127.17,16.08,22.69,3.34,0.66,9.47,15.83,18.94,13.96,2.52,17.33,54.61,3.28
2004,43.51,299.50,99.83,88.15,47.28,3.10,117.74,14.49,25.18,3.10,0.74,10.88,18.18,28.32,14.50,2.76,35.73,56.13,14.43
2003,38.55,254.00,102.51,92.49,42.55,2.98,122.48,14.39,25.36,2.85,0.77,15.15,25.12,34.02,19.33,4.35,34.97,60.62,14.21
2002,44.16,241.71,148.58,138.08,35.19,3.21,113.70,12.88,28.33,2.49,0.90,14.28,25.23,41.87,15.48,3.59,9.60,65.57,3.23
2001,46.21,118.68,96.73,82.13,79.61,2.72,134.19,6.70,54.47,2.03,0.92,16.75,31.52,73.14,17.96,6.14,28.31,61.37,16.39
2000,49.07,132.23,116.45,92.35,59.97,4.02,90.79,8.47,43.09,3.00,1.39,24.37,43.61,77.37,17.25,5.87,50.40,56.75,36.10
1999,37.10,115.58,125.89,100.29,27.80,3.49,104.58,12.22,29.86,1.74,1.02,12.49,19.64,29.89,11.83,2.20,22.15,32.31,11.37
1998,40.06,107.31,99.57,90.04,25.24,4.59,79.52,18.18,20.07,1.36,0.89,15.72,34.99,19.23,17.20,9.87,26.90,27.55,12.84
1997,89.03,14.58,27.65,23.36,7.82,7.57,48.21,20.49,17.81,1.00,0.78,1.02,6.47,-0.42,1.25,0.68,-0.27,29.72,-0.03
