,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,60.00,10356.53,311.87,30.33,472.06,8.60,42.44,0.27,1351.85,27.28,0.25,3.55,7.02,13.85,11.07,1.19,-9.61,-40.23,-6.09
2016,60.00,6189.65,337.75,37.29,51.11,7.61,47.96,0.16,2281.25,20.43,0.17,3.14,7.88,14.23,12.92,1.30,7.12,-682.56,3.69
2015,61.00,5648.69,174.21,11.20,121.51,7.16,50.97,0.18,2027.77,23.44,0.20,2.26,9.03,14.20,11.52,1.40,-11.07,-367.60,-14.81
2014,55.00,3761.79,158.64,11.82,283.32,10.91,33.45,0.38,960.52,35.21,0.41,5.50,21.35,32.44,13.36,3.15,-7.63,7.58,-15.23
2013,53.00,2171.90,135.21,14.05,198.09,15.61,23.38,0.53,688.67,41.41,0.57,7.63,28.88,40.39,13.35,4.05,3.31,54.48,3.26
2012,53.00,1610.37,180.90,10.84,64.72,15.70,23.24,0.38,960.52,26.37,0.42,6.87,29.18,41.11,16.01,4.10,6.56,41.27,12.76
2011,60.17,1240.02,160.83,7.14,130.60,11.84,30.82,0.49,744.89,23.03,0.39,7.90,36.42,54.17,17.00,5.32,-0.17,-13.66,-2.90
2010,70.10,1022.60,138.66,13.52,65.68,8.86,41.19,0.36,1013.88,23.36,0.38,4.48,30.09,44.77,11.63,4.17,5.60,-19.16,23.76
2009,77.16,883.99,125.74,13.80,15.08,9.15,39.89,0.35,1042.85,23.41,0.34,1.34,10.38,14.95,3.81,1.29,1.84,-29.94,7.45
2008,76.54,825.66,123.57,8.85,13.06,9.43,38.70,0.48,760.41,29.26,0.41,1.65,12.78,14.61,3.43,1.60,0.20,-23.75,-1.37
2007,77.48,765.88,122.98,11.11,22.75,9.25,39.45,0.58,629.31,29.25,0.49,2.92,20.86,25.94,5.21,2.84,-15.44,-33.38,-108.86
2006,73.22,690.81,127.76,16.94,33.40,12.13,30.09,0.61,598.36,28.60,1.11,6.17,28.31,39.70,6.48,4.17,-20.85,-17.5,-21.01
2005,60.07,549.92,152.14,47.37,34.10,11.15,32.73,0.65,561.53,25.08,1.82,16.13,48.09,83.17,8.71,7.24,17.09,-3.75,19.01
2004,74.25,313.41,118.22,48.92,13.30,8.98,40.64,1.03,354.36,20.10,1.65,5.57,18.48,29.32,2.65,2.22,-16.52,-10.64,-43.30
2003,71.62,323.25,120.50,76.70,2.41,4.93,74.03,1.00,365.00,16.04,1.41,0.84,1.48,1.07,0.30,0.16,-11.16,4.68,-25.80
2002,61.15,328.34,132.99,83.90,1.76,6.57,55.55,0.88,414.77,14.20,1.68,1.31,1.39,2.46,0.32,0.15,1.03,14.03,-0.67
2001,60.72,330.48,124.83,85.10,2.75,7.40,49.32,1.12,325.89,21.43,1.94,2.28,3.91,5.50,0.75,0.45,1.02,19.14,-2.43
2000,64.56,551.04,130.52,68.78,123.65,6.26,58.30,1.04,350.96,34.47,2.16,3.74,9.63,11.02,1.72,1.11,12.40,23.94,20.96
1999,57.37,716.45,153.03,118.80,1281.00,6.49,56.24,1.16,314.65,43.76,2.44,6.44,15.00,18.35,2.63,1.77,15.29,18.69,19.62
1998,56.77,839.28,153.35,136.04,15499.66,7.94,45.96,1.66,219.87,41.30,2.32,7.62,16.09,13.90,3.27,1.93,31.86,62.62,39.74
