,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,46.9,449.2,216.64,157.61,14.67,5.81,62.82,3.98,91.7,7.56,1.07,5.59,9.37,21.82,4.82,1.42,37.1,97.19,12.73
2016-01-01,51.7,421.18,211.13,145.23,21.42,5.63,64.83,3.99,91.47,8.31,1.15,7.2,13.87,29.06,5.97,1.99,6.58,121.24,3.74
2015-01-01,51.52,444.53,191.48,130.74,12.48,5.82,62.71,4.06,89.9,8.41,1.13,4.44,8.32,16.93,3.59,1.01,44.84,110.61,27.45
2014-01-01,50.96,440.76,250.18,164.48,1005.35,4.07,89.68,3.1,117.74,6.7,0.89,3.83,8.13,12.89,3.82,0.64,4.44,41.63,-0.01
2013-01-01,54.17,438.39,180.17,133.04,832.56,4.34,84.1,4.61,79.17,8.19,1.04,3.5,4.85,11.28,2.14,0.35,-7.49,61.81,-10.72
2012-01-01,36.56,1141.93,188.27,177.1,28.37,4.13,88.37,46.43,7.86,25.74,1.48,6.7,11.98,13.61,4.56,1.61,49.39,113.35,15.68
2011-01-01,54.54,408.22,130.69,120.08,23.8,3.31,110.27,26.03,14.02,11.22,1.25,4.26,8.99,16.5,3.39,1.24,17.26,129.57,10.4
2010-01-01,54.77,424.42,127.98,116.49,16.41,3.84,95.05,32.11,11.36,12.76,1.36,5.22,10.08,20.12,3.06,1.34,0.0,113.95,-4.83
2009-01-01,46.69,421.78,149.34,131.84,734.15,3.1,117.74,15.33,23.8,6.69,1.04,4.47,7.89,11.66,3.96,1.08,36.47,177.11,13.25
2008-01-01,53.35,385.12,125.18,102.41,210.41,3.02,120.86,11.33,32.21,6.09,0.94,2.89,3.86,11.91,1.89,0.52,29.97,129.47,16.5
2007-01-01,60.47,395.29,142.92,116.16,131.75,2.28,160.08,6.14,59.44,4.43,0.67,1.31,0.52,6.39,0.3,0.07,28.29,87.07,15.87
2006-01-01,56.16,359.87,172.19,118.38,111.67,2.03,179.8,4.76,76.68,3.77,0.72,1.22,0.29,10.41,0.18,0.04,7.07,46.19,2.63
2005-01-01,59.33,343.8,137.08,105.29,123.3,1.61,226.7,4.33,84.29,3.17,0.55,1.22,0.66,2.5,0.49,0.08,10.92,68.6,6.17
2004-01-01,60.46,333.68,118.19,92.78,-434.06,2.09,174.64,5.72,63.81,4.1,0.69,-3.86,-11.66,3.06,-6.57,-1.58,0.0,21.25,0.0
2003-01-01,61.81,416.74,142.3,107.65,-9.5,2.12,172.16,5.02,72.7,4.58,0.71,0.57,-1.16,-1.19,-0.63,-0.17,8.8,19.49,4.26
2002-01-01,60.27,475.95,150.75,119.01,0.96,2.28,160.08,4.74,77.0,5.55,0.7,2.0,1.73,2.31,0.98,0.25,10.89,16.03,4.91
2001-01-01,57.2,487.03,178.02,143.64,1.58,2.23,163.67,3.78,96.56,5.57,0.74,2.92,3.22,15.33,1.83,0.5,27.53,1.25,11.97
2000-01-01,57.06,418.75,133.29,95.26,2.37,2.1,173.8,3.47,105.18,5.69,0.67,5.84,7.18,24.43,4.57,1.07,0.0,1.19,0.0
1999-01-01,47.36,178.35,163.71,96.59,505.49,5.13,71.15,3.13,116.61,3.14,1.08,11.68,19.26,21.28,7.11,2.61,4.04,4.95,2.19
1998-01-01,50.63,312.7,154.1,78.06,444.47,6.82,53.52,3.25,112.31,9.16,1.45,16.24,29.35,35.23,7.71,2.88,0.0,4.56,0.0
