,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,7.85,2641.30,10579.65,10447.55,-49.44,31.29,11.66,16.14,22.61,3.14,0.12,-0.32,-0.35,-0.75,-2.79,-0.07,-39.03,5.04,1.84
2016,7.97,2674.20,6864.54,6783.20,238.81,54.91,6.64,15.10,24.17,4.21,0.16,1.19,1.29,3.31,7.43,0.28,-30.45,7.37,1.75
2015,7.68,2541.56,8931.42,8723.13,4.71,33.78,10.80,17.03,21.43,4.05,0.16,0.03,0.03,0.05,0.19,0.01,-19.76,2.62,1.87
2014,7.56,2559.99,8841.58,8763.83,6.96,23.59,15.47,52.09,7.00,4.78,0.18,0.04,0.04,0.10,0.19,0.01,-96.58,2.02,1.38
2013,7.32,287.91,9575.57,9514.76,14.59,24.66,14.80,51.29,7.11,0.60,0.19,0.08,0.08,0.22,0.37,0.02,77.88,-8.83,2.44
2012,7.10,328.87,11242.07,11130.47,-39.16,24.68,14.78,33.06,11.04,1.05,0.31,-0.35,-0.39,-2.18,-1.15,-0.09,-7.43,3.33,1.86
2011,9.79,334.21,1939.89,1868.27,9.09,29.67,12.30,27.31,13.36,99.00,24.00,-2.75,-2.98,-1.38,-11.61,-0.87,-86.38,4.16,34.26
2010,5.62,480.49,6603.12,6514.26,18476.45,41.41,8.81,32.80,11.12,74.00,19.00,78.78,88.10,-4.11,414.91,21.68,81.82,-506.15,0.95
2009,20.40,243.83,555.58,540.82,136.24,26.57,13.73,21.48,16.99,41.95,15.17,1.63,2.04,-0.06,10.62,0.30,12.76,1511.39,1.45
2008,20.64,106.26,4533.38,4383.63,42.54,12.71,28.71,46.72,7.81,30.77,23.23,1.29,1.59,1.89,5.45,0.23,684.11,577.74,2.76
2007,20.89,128.77,30.30,29.11,20.26,13.71,26.62,33.14,11.01,36.24,27.74,0.56,0.68,-0.45,1.94,0.10,47.61,5.59,0.25
2006,21.72,242.05,1282.27,1196.08,0.00,19.96,18.28,6.45,56.58,0.96,0.36,-3.46,-13.28,-13.28,-10.30,-0.76,232.95,265.2,3.16
2005,33.26,226.95,220.32,151.06,1.09,25.29,14.43,5.06,72.13,1.35,0.48,0.39,-0.08,-0.77,-0.10,-0.01,109.83,200.81,11.55
2004,45.93,228.06,189.38,134.73,6.35,27.50,13.27,4.93,74.03,1.27,0.46,1.55,2.29,0.49,2.60,0.29,4.05,120.77,0.00
2003,41.64,224.26,235.05,159.05,6.33,29.84,12.23,3.86,94.55,1.35,0.51,1.57,2.25,-1.59,2.59,0.28,80.43,167.83,6.21
2002,40.52,217.23,253.18,111.36,4.70,29.10,12.54,3.73,97.85,1.50,0.59,1.55,2.02,-3.19,2.08,0.25,43.68,194.93,1.95
2001,38.32,214.34,279.82,146.15,10.34,22.27,16.38,3.75,97.33,1.28,0.52,5.04,7.66,4.63,8.83,0.96,48.45,375.94,2.82
2000,41.28,199.16,201.40,114.90,2.81,24.74,14.75,4.48,81.47,1.39,0.59,2.62,3.15,2.17,3.08,0.38,0.00,155.47,0.00
1999,43.87,185.09,140.71,62.71,1.51,22.15,16.47,4.10,89.02,1.24,0.55,1.17,0.82,-4.17,0.83,0.10,29.71,100.67,4.17
1998,43.54,173.04,120.04,37.50,-4.12,22.67,16.10,3.60,101.39,1.34,0.59,-5.78,-12.03,-15.04,-11.30,-1.50,50.51,54.25,7.23
1997,44.85,129.82,126.03,29.42,1.38,18.19,20.07,2.77,131.77,1.48,0.62,1.92,1.01,4.95,0.88,0.13,36.24,33.25,7.74
1996,47.91,126.90,110.12,31.39,2.14,20.60,17.72,3.58,101.96,1.46,0.63,2.63,2.80,1.66,2.35,0.36,0.00,57.01,0.00
1995,46.12,164.91,92.20,36.23,-3.75,23.67,15.42,3.29,110.94,1.21,0.50,-3.70,-8.97,-8.02,-9.78,-1.18,3.37,72.46,-0.01
1994,44.03,196.72,139.69,64.12,8.86,25.35,14.40,3.23,113.00,1.58,0.59,5.69,9.30,11.27,8.92,1.36,9.61,64.67,2.49
1993,43.60,214.44,149.29,85.42,4.60,21.54,16.95,4.08,89.46,1.52,0.54,4.74,7.17,8.08,7.14,1.09,7.91,107.55,1.79
1992,48.31,203.25,123.66,82.33,5.99,15.92,22.93,4.98,73.29,2.05,0.71,9.90,18.14,22.67,12.20,3.02,67.34,121.96,20.39
