,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,30.06,163.99,229.30,173.14,91.27,7.58,48.15,3.98,91.70,1.21,0.60,7.54,10.89,17.83,12.23,1.54,74.77,101.45,5.91
2016,33.48,155.30,186.63,126.78,21.07,7.60,48.02,3.74,97.59,1.26,0.64,5.04,7.36,10.48,7.46,0.81,68.40,129.69,6.62
2015,35.94,157.49,200.37,122.21,17.10,7.11,51.33,3.57,102.24,1.16,0.60,5.79,8.74,11.86,9.05,0.90,62.09,118.37,5.50
2014,39.43,148.41,158.99,108.74,23.22,7.22,50.55,4.09,89.24,1.29,0.63,5.56,8.54,10.66,8.45,0.83,63.21,122.44,6.84
2013,35.54,174.07,179.24,118.07,4.19,6.86,53.20,3.47,105.18,1.23,0.59,0.89,0.82,1.51,0.86,0.06,58.05,149.23,5.83
2012,37.50,140.94,121.48,64.00,0.00,7.54,48.40,3.46,105.49,0.80,0.45,-2.77,-5.38,-5.46,-7.28,-0.50,43.92,89.30,5.81
2011,39.43,125.60,99.72,54.34,0.00,8.22,44.40,4.12,88.59,0.74,0.44,-0.80,-2.31,-1.68,-3.09,-0.23,65.00,89.85,10.19
2010,41.30,123.12,95.00,58.41,689.62,10.45,34.92,5.18,70.46,0.78,0.49,6.28,9.96,8.60,11.14,0.96,71.32,64.22,12.83
2009,48.04,116.46,80.94,48.78,0.00,8.58,42.54,5.37,67.97,0.43,0.28,-11.72,-23.88,-16.39,-44.09,-2.36,29.09,48.93,5.73
2008,47.86,117.93,93.69,64.94,0.00,7.54,48.40,5.34,68.35,0.46,0.25,-8.02,-16.52,-16.15,-33.74,-2.00,17.38,60.27,3.15
2007,46.50,147.70,122.17,101.18,0.00,5.85,62.39,5.40,67.59,0.65,0.34,-5.52,-10.78,-9.77,-18.10,-1.57,39.98,80.98,9.21
2006,38.37,151.60,227.39,160.25,8.70,6.17,59.15,4.92,74.18,0.69,0.40,3.00,4.22,9.98,6.86,0.62,97.47,86.07,5.64
2005,31.66,148.62,144.99,113.38,0.00,7.99,45.68,4.92,74.18,0.81,0.38,0.00,-2.49,-5.28,-5.16,-0.35,74.13,102.82,6.94
2004,8.51,258.18,488.04,375.59,2944.46,9.59,38.06,4.46,81.83,1.21,0.46,5.11,5.69,7.88,10.91,0.81,265.68,157.42,10.77
2003,16.18,211.03,232.01,185.70,0.00,7.81,46.73,5.54,65.88,0.94,0.40,0.00,-1.85,-3.64,-3.77,-0.26,105.06,103.27,9.11
2002,19.11,190.51,207.84,151.05,0.00,9.45,38.62,5.06,72.13,0.83,0.39,0.00,-6.55,-4.06,-13.07,-0.96,99.01,49.15,7.88
2001,26.08,188.42,245.78,180.64,0.00,5.40,67.59,4.05,90.12,0.52,0.24,0.00,-14.68,-26.66,-44.62,-2.41,1.81,40.01,0.00
2000,25.57,185.98,212.56,152.63,7.79,7.56,48.28,4.44,82.20,0.99,0.47,11.01,14.29,28.60,21.02,2.83,152.41,42.15,15.71
1999,37.50,171.86,143.61,109.59,2.57,6.60,55.30,3.83,95.30,0.69,0.34,6.71,8.43,15.78,14.34,1.53,38.13,35.33,6.88
1998,49.36,158.58,137.08,103.66,-35.95,6.73,54.23,2.97,122.90,0.44,0.21,1.10,-1.01,-1.42,-2.55,-0.15,-6.80,39.01,-1.28
1997,43.06,182.77,203.60,171.02,5.37,7.19,50.76,2.76,132.25,0.54,0.24,8.18,12.66,0.09,30.75,2.17,65.54,66.34,11.46
1996,41.51,207.60,169.07,132.79,4.59,6.00,60.83,3.12,117.00,0.83,0.34,8.90,12.20,14.01,22.32,2.04,22.38,71.96,4.57
1995,40.83,192.18,209.24,181.53,31.96,9.36,39.00,4.34,84.10,1.56,0.61,41.95,71.20,160.57,50.57,16.98,154.00,95.68,34.94
1994,45.63,138.91,186.01,145.36,10.20,7.53,48.47,3.75,97.33,1.00,0.55,17.15,28.41,65.65,24.45,5.95,102.26,28.8,22.46
1993,43.52,147.29,180.38,134.76,2.61,6.85,53.27,3.86,94.55,0.86,0.45,5.94,6.26,12.88,6.74,1.19,23.98,-8.59,5.62
