,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,22.72,501.04,254.75,159.45,27.14,8.25,44.24,4.36,83.71,2.42,0.44,5.26,6.64,31.32,11.69,2.54,67.30,123.49,2.84
2016,23.63,497.09,249.75,156.09,23.92,7.91,46.14,4.38,83.33,2.35,0.46,4.63,6.08,26.56,9.64,2.07,52.77,152.21,2.19
2015,29.96,401.15,216.11,132.99,19.89,8.02,45.51,4.66,78.32,2.44,0.55,4.36,5.95,22.33,7.52,1.68,56.58,147.51,3.10
2014,29.98,345.47,197.82,118.53,20.39,9.20,39.67,5.54,65.88,2.61,0.64,5.27,7.16,24.76,7.93,2.09,55.31,143.95,3.69
2013,29.25,338.14,183.80,106.09,13.00,9.06,40.28,5.97,61.13,2.37,0.62,3.07,4.00,15.79,4.56,1.27,56.38,144.97,3.40
2012,22.21,826.35,255.66,149.00,23.59,11.59,31.49,6.89,52.97,4.79,0.52,3.69,4.55,7.44,6.94,1.43,109.92,128.14,3.15
2011,21.67,775.73,282.05,140.08,26.29,12.17,29.99,6.90,52.89,4.43,0.52,3.07,3.71,11.04,5.74,1.24,123.59,110.06,1.56
2010,19.13,790.35,268.13,149.15,57.49,11.51,31.71,6.76,53.99,3.92,0.46,6.12,7.49,10.72,12.46,2.43,98.89,107.55,3.04
2009,20.28,722.51,299.53,165.29,-0.48,9.82,37.16,5.49,66.48,3.23,0.42,0.28,0.19,9.84,0.34,0.05,141.32,96.2,2.43
2008,23.87,582.92,312.21,175.42,13.56,9.52,38.34,5.16,70.73,3.10,0.49,4.90,5.75,5.44,10.68,1.79,176.00,96.37,0.75
2007,16.72,773.24,296.79,146.63,25.17,9.75,37.43,4.97,73.44,3.33,0.40,11.02,13.44,4.57,25.21,4.38,82.00,105.12,1.05
2006,24.84,734.74,247.88,131.28,14.62,10.40,35.09,4.67,78.15,3.43,0.43,7.00,9.44,5.11,12.23,2.02,59.14,117.38,1.52
2005,38.73,406.36,230.33,124.07,14.51,11.06,33.00,4.48,81.47,3.30,0.68,7.25,11.30,6.03,9.93,1.55,58.57,126.26,3.75
2004,40.48,367.02,168.84,105.10,8.19,11.12,32.82,4.28,85.28,3.09,0.65,6.34,9.73,6.12,8.72,1.30,41.15,118.16,5.36
2003,40.98,367.46,236.84,138.15,6.56,8.96,40.73,3.62,100.82,2.45,0.56,5.32,7.64,5.79,7.96,1.00,38.31,106.03,1.96
2002,36.95,312.37,152.36,78.61,4.98,7.67,47.58,3.61,101.10,2.22,0.56,6.39,8.77,8.64,9.51,1.14,30.21,119.31,3.33
2001,40.21,306.26,180.70,104.24,2.51,5.89,61.96,3.40,107.35,1.85,0.50,4.92,5.28,11.86,6.23,0.69,44.36,93.62,3.68
2000,38.66,289.84,199.48,114.27,5.13,5.58,65.41,3.68,99.18,1.87,0.55,8.82,12.40,15.47,13.43,1.64,49.18,84.07,3.67
1999,41.60,245.11,107.19,64.82,4.82,5.39,67.71,3.39,107.66,1.66,0.48,7.29,9.91,14.42,11.61,1.28,25.27,76.14,4.96
1998,34.17,215.37,138.07,72.85,337.00,6.25,58.40,3.25,112.30,1.59,0.58,6.95,8.45,14.11,9.30,1.07,50.50,77.36,6.91
1997,34.52,180.37,106.37,46.15,577.87,7.13,51.19,3.41,107.04,1.62,0.64,7.89,10.11,17.59,9.95,1.28,23.79,75.09,4.34
1996,31.94,176.13,117.87,59.88,791.47,6.77,53.91,3.58,101.96,1.64,0.68,7.47,9.57,15.69,9.33,1.21,48.54,69.59,9.10
1995,30.13,166.12,155.58,75.64,611.75,6.47,56.41,3.55,102.82,1.52,0.70,7.33,8.88,16.39,8.56,1.12,43.41,85.44,6.66
1994,28.63,158.01,203.68,119.85,828.21,6.74,54.15,3.71,98.38,1.40,0.70,9.72,12.18,19.05,11.93,1.58,61.05,90.61,7.44
1993,29.74,146.73,198.39,119.55,931.78,6.79,53.76,3.71,98.38,1.23,0.67,9.85,12.71,19.80,12.90,1.69,69.65,93.27,7.34
1992,29.78,140.09,219.65,118.95,859.65,6.93,52.67,4.09,89.24,1.24,0.75,8.85,11.30,23.25,10.38,1.44,92.97,88.59,6.64
