,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,36.64,435.59,240.75,167.81,60599.91,5.76,63.36,4.96,73.58,8.57,1.36,3.92,6.37,15.66,2.87,1.26,14.71,174.71,1.86
2016,40.26,380.01,214.89,155.80,9417.86,5.78,63.14,5.39,67.71,8.30,1.52,4.30,7.18,18.49,2.78,1.40,43.35,163.73,17.29
2015,41.23,329.03,225.12,145.94,-1918.64,4.91,74.33,5.15,70.87,7.37,1.48,-2.12,-3.75,-5.89,-1.47,-0.74,39.17,122.99,10.30
2014,43.00,315.10,203.10,138.51,2096.18,4.06,89.90,4.75,76.84,6.83,1.33,3.23,5.50,13.23,3.00,1.10,28.80,97.60,8.47
2013,45.77,312.17,192.36,131.22,2486.19,4.06,89.90,5.08,71.85,6.92,1.33,4.66,8.08,19.61,3.23,1.60,13.51,68.12,3.13
2012,22.28,1216.14,360.88,318.89,36.23,3.76,97.07,17.88,20.41,28.28,1.84,5.41,7.34,15.58,3.07,1.41,35.74,100.38,1.57
2011,33.67,1202.23,275.84,239.78,62.07,3.90,93.58,8.15,44.78,27.40,1.64,6.48,10.15,22.98,3.98,2.01,19.67,100.35,0.39
2010,40.41,970.71,194.22,132.68,121.67,4.88,74.79,6.98,52.29,25.82,1.58,6.43,10.53,29.80,3.88,2.01,-7.51,78.14,-11.16
2009,38.15,960.82,223.18,176.98,40.46,3.54,103.10,6.49,56.24,16.97,1.14,6.31,9.92,23.20,5.16,1.80,46.20,123.79,20.06
2008,37.31,781.89,232.47,188.61,1565.63,4.58,79.69,9.68,37.70,21.35,1.79,8.64,13.23,40.35,4.61,2.35,44.00,78.0,11.82
2007,39.31,671.31,197.71,156.39,34.49,4.17,87.52,8.58,42.54,17.59,1.59,10.44,18.10,40.21,6.25,3.26,20.63,61.81,12.27
2006,48.00,632.00,203.00,162.00,20.00,4.79,76.20,9.15,39.89,17.50,1.68,10.00,19.00,44.00,5.00,3.10,19.00,44.0,6.00
2005,44.00,436.00,171.00,121.00,61.00,5.46,66.84,8.81,41.43,15.59,2.06,13.00,23.00,49.00,6.00,3.61,35.00,40.0,20.00
2004,44.00,341.00,181.00,134.00,57.00,9.45,38.62,15.74,23.18,11.55,1.97,13.00,19.00,40.00,5.00,2.87,,,
2003,7.00,265.00,10668.00,10668.00,,8.66,42.14,,,0.75,0.26,3.00,3.00,23.00,5.00,0.23,726.00,,4.00
