,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,80.05,102.82,60.64,51.97,1.35,16.28,22.42,,,1.57,0.97,1.48,2.30,2.73,0.38,0.17,4.32,0.00,1.36
2016,88.03,102.98,59.43,52.21,-6.89,16.12,22.64,,,1.35,0.85,-9.10,-62.03,-52.24,-12.90,-9.22,-25.37,1.05,-7.66
2015,79.53,119.90,85.71,77.84,-3.38,17.33,21.06,,,1.41,0.82,-4.09,-22.20,-26.44,-6.11,-2.24,3.30,53.07,0.87
2014,76.69,126.74,110.00,96.96,1.58,18.64,19.58,38.28,9.53,1.57,0.91,1.38,1.55,3.58,0.39,0.13,16.55,26.04,3.78
2013,76.40,124.94,91.24,77.50,-0.62,19.78,18.45,36.09,10.11,1.32,0.84,-0.95,-8.07,-10.69,-2.45,-0.90,1.78,19.66,0.35
2012,66.80,271.31,91.52,68.04,0.74,51.33,7.11,,,3.73,1.11,0.90,0.17,-17.92,0.05,0.02,-9.29,-8.43,-1.54
2011,66.65,326.27,71.66,45.36,-11.10,63.41,5.75,,,5.04,1.11,-9.54,-26.33,-38.94,-9.59,-3.33,,16.22,
2010,55.44,446.87,106.82,88.37,14.73,56.50,6.46,,,7.51,1.19,14.31,31.94,50.08,10.53,4.60,73.32,37.82,20.81
2009,60.92,395.62,97.71,69.35,-19.73,29.88,12.21,,,4.46,0.92,-18.05,-40.22,-67.93,-21.26,-6.18,-118.90,5.79,-19.09
2008,46.05,460.28,95.10,76.44,2.00,35.07,10.40,,,7.55,1.34,1.31,1.12,-3.66,0.47,0.21,26.49,43.86,0.94
2007,42.44,393.22,120.24,92.88,9.67,33.62,10.85,,,6.49,1.30,7.79,12.91,9.07,5.27,2.60,41.91,52.42,5.96
2006,48.10,409.56,152.69,137.94,3.08,34.73,10.50,,,5.99,1.12,2.13,2.54,-6.28,1.24,0.50,9.25,54.57,-5.11
2005,41.03,505.79,277.81,260.37,13.63,35.13,10.38,,,6.53,1.05,12.49,20.35,13.24,11.01,4.11,70.95,60.64,1.23
2004,43.65,371.88,355.50,345.24,18.72,37.24,9.80,,,4.61,1.01,14.86,25.41,26.60,12.49,4.57,86.05,62.25,5.96
2003,45.32,374.31,333.38,323.66,13.45,35.12,10.39,,,4.76,1.03,13.32,23.07,22.86,10.57,3.70,111.55,91.30,13.36
2002,47.51,301.44,213.54,202.18,2.59,26.47,13.78,,,3.63,0.98,3.65,4.69,0.87,2.49,0.64,27.08,60.80,3.10
2001,47.14,178.90,116.60,106.68,0.34,28.51,12.80,,,2.34,1.00,-0.36,-2.75,-4.44,-1.49,-0.37,31.15,50.15,4.23
2000,43.50,212.30,160.57,149.57,4.32,30.55,11.94,,,3.10,1.14,3.86,4.86,3.42,2.37,0.67,45.59,66.60,5.76
1999,36.99,175.95,120.30,102.41,468.00,37.34,9.77,,,2.62,1.17,5.22,7.18,9.10,3.71,1.00,65.43,56.66,8.69
1998,43.80,194.20,136.37,110.36,146.00,34.36,10.62,,,1.95,0.86,3.83,3.99,-13.75,2.49,0.58,10.91,64.73,0.90
1997,45.82,122.36,89.77,67.08,285.00,36.44,10.01,,,1.23,0.85,4.95,6.84,13.25,3.98,1.02,25.43,91.12,0.83
1996,53.69,98.83,62.14,48.01,430.00,42.01,8.68,,,1.08,0.85,6.23,11.18,25.73,5.64,1.59,32.46,98.09,2.21
1995,57.87,82.59,46.97,36.03,6.81,40.67,8.97,*****,*****,0.89,0.74,4.85,8.89,20.58,5.01,1.19,46.75,435.27,8.12
1994,47.54,86.66,38.46,18.48,361.90,35.36,10.32,*****,*****,0.90,0.79,3.70,6.63,12.83,3.74,0.85,51.77,220.03,6.11
1993,67.57,80.44,55.84,47.20,184.46,37.25,9.80,-90000.00,0.00,0.81,0.68,2.88,4.19,9.26,1.99,0.48,40.36,472.54,7.71
1992,69.28,84.32,60.31,50.37,165.32,39.03,9.35,*****,*****,0.73,0.62,2.98,3.72,9.87,1.81,0.42,58.27,86.81,10.4
