,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,42.87,275.2,222.84,186.1,116.61,3.09,118.12,7.57,48.21,4.92,1.14,14.11,24.96,126.03,11.84,8.74,44.05,144.58,8.06
2016-01-01,45.34,246.57,195.01,166.38,144.95,3.03,120.46,8.23,44.34,4.77,1.15,15.14,27.46,122.83,12.57,8.7,35.89,141.63,7.2
2015-01-01,45.27,234.66,199.77,171.33,94.06,3.02,120.86,8.45,43.19,4.48,1.18,14.08,26.78,104.9,11.46,7.55,56.78,131.04,16.94
2014-01-01,51.06,170.89,143.33,119.52,40.06,3.01,121.26,8.75,41.71,3.7,1.13,10.11,20.44,58.17,8.16,4.91,25.48,100.98,10.43
2013-01-01,52.6,152.25,137.55,113.21,21.71,3.04,120.06,8.5,42.94,3.31,1.16,6.24,12.7,33.05,4.97,2.69,18.83,65.96,5.9
2012-01-01,33.89,433.03,126.6,100.36,48.79,3.24,112.65,8.51,42.89,3.05,0.53,12.94,18.87,10.98,22.43,3.73,17.2,65.96,-1.66
2011-01-01,31.3,377.19,128.43,106.53,43.7,3.39,107.66,9.17,39.8,2.79,0.57,10.82,16.06,7.78,18.08,2.87,23.25,77.68,-1.22
2010-01-01,36.88,376.75,165.31,136.58,68.89,3.52,103.69,9.64,37.86,2.83,0.58,17.6,27.31,12.39,27.04,4.3,30.07,78.33,4.33
2009-01-01,35.52,353.43,159.95,138.46,34.39,3.32,109.93,11.15,32.73,2.65,0.58,13.12,20.5,11.9,20.73,2.8,36.23,61.42,6.5
2008-01-01,39.87,283.4,141.28,118.99,4.28,3.07,118.89,9.88,36.94,2.37,0.64,2.91,3.98,-0.7,3.65,0.49,5.82,44.32,0.28
2007-01-01,44.5,233.23,113.76,88.92,12.69,3.2,114.06,7.75,47.09,2.41,0.67,7.26,12.34,4.23,9.53,1.52,19.84,43.05,5.7
2006-01-01,45.86,227.49,150.8,114.61,16.86,3.58,101.95,7.0,52.14,2.22,0.69,8.49,15.37,9.53,10.28,1.78,10.58,34.28,3.22
2005-01-01,50.32,178.92,133.69,95.86,18.3,3.64,100.27,5.31,68.73,1.59,0.61,2.82,4.94,5.21,3.89,0.53,29.89,57.86,9.82
2004-01-01,36.76,290.53,211.14,157.46,40.74,2.87,127.17,4.41,82.76,2.4,0.61,8.75,13.1,7.37,12.89,1.36,10.16,89.85,2.54
2003-01-01,31.66,240.99,200.18,156.53,-16.6,2.69,135.68,4.45,82.02,1.98,0.6,-6.99,-10.07,0.52,-12.15,-1.04,13.43,117.98,3.36
2002-01-01,22.6,237.12,230.29,158.69,-991.0,3.39,107.66,3.52,103.69,1.56,0.56,-4.35,-6.25,1.22,-8.94,-0.7,10.24,145.32,1.68
2001-01-01,25.12,239.26,209.55,129.64,-208.07,3.15,115.87,2.97,122.89,1.73,0.58,-1.98,-3.87,5.09,-5.01,-0.45,68.15,130.85,11.93
2000-01-01,35.02,227.34,162.63,100.87,1456.91,3.8,96.05,4.24,86.08,2.12,0.67,8.21,11.25,20.7,10.02,1.42,12.64,98.36,3.84
1999-01-01,27.28,203.04,165.27,120.49,598.0,4.02,90.79,4.69,77.82,1.97,0.72,4.98,6.17,11.0,5.61,0.8,39.87,105.39,10.42
1998-01-01,36.84,185.49,177.34,125.09,436.24,4.26,85.68,4.4,82.95,2.25,0.84,5.95,7.69,14.43,5.6,1.01,42.56,68.32,15.26
1997-01-01,41.45,167.86,163.99,113.23,505.4,4.08,89.46,4.06,89.9,2.02,0.8,7.03,10.28,25.79,6.5,1.38,13.11,10.69,5.6
1996-01-01,50.08,134.97,140.39,92.41,480.87,4.68,78.0,4.54,80.39,2.0,0.91,10.19,16.48,29.3,8.36,2.01,31.24,1.39,15.8
1995-01-01,50.31,117.91,120.4,74.85,427.56,3.75,97.33,4.36,83.72,1.48,0.76,15.5,30.3,29.56,14.43,3.15,15.92,-17.12,9.19
1994-01-01,67.15,105.39,105.12,72.43,169.14,4.08,89.46,5.15,70.87,1.26,0.66,6.02,7.89,10.5,3.75,0.62,-27.53,-38.34,-19.98
