,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,89.97,0.0,182.36,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.04,0.79,7.82,17.17,18.66,1.37,0.0,0.0,0.0
2016-01-01,89.83,0.0,187.49,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.04,0.77,6.86,13.98,17.04,1.16,0.0,0.0,0.0
2015-01-01,87.28,0.0,161.6,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.04,0.84,6.27,12.24,17.19,1.02,0.0,0.0,0.0
2014-01-01,85.67,0.0,185.2,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.04,1.52,9.48,17.64,29.82,1.62,0.0,0.0,0.0
2013-01-01,81.32,0.0,233.78,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.03,0.96,5.01,9.19,28.15,0.78,0.0,0.0,0.0
2012-01-01,80.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.04,0.84,4.23,0.0,22.89,0.61,0.0,0.0,0.0
2011-01-01,80.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.04,1.93,10.1,0.0,42.37,1.47,0.0,0.0,0.0
2010-01-01,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.04,1.4,7.09,0.0,32.23,1.01,0.0,0.0,0.0
2009-01-01,78.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.05,1.38,6.55,0.0,29.63,0.91,0.0,0.0,0.0
2008-01-01,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.04,0.33,1.59,0.0,8.41,0.21,0.0,0.0,0.0
2007-01-01,79.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.05,1.25,8.33,0.0,24.11,0.89,0.0,0.0,0.0
2006-01-01,91.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.02,0.25,-8.67,0.0,-32.74,-1.05,0.0,0.0,0.0
2005-01-01,18.1,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.01,-2.11,-2.96,-3.28,-261.24,-0.39,0.0,0.0,0.0
2004-01-01,18.92,0.0,15.57,0.0,0.0,0.0,0.0,0.0,0.0,12.64,0.07,7.51,8.8,10.57,102.63,1.23,0.0,0.0,0.0
2003-01-01,13.47,0.0,20.15,0.0,0.0,0.0,0.0,0.0,0.0,18.32,0.07,6.57,7.25,8.54,95.67,1.0,0.0,0.0,0.0
2002-01-01,7.51,0.0,4.82,0.0,0.0,0.0,0.0,0.0,0.0,3.89,0.0,0.17,0.11,0.17,28.22,0.02,0.0,0.0,0.0
