,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,49.71,456.18,177.53,125.04,55.41,3.81,95.8,3.94,92.63,9.25,1.11,10.58,20.27,71.85,9.37,5.44,14.11,114.45,-0.74
2016-01-01,47.85,432.88,174.54,130.9,57.74,4.14,88.16,4.38,83.33,9.08,1.16,10.68,20.35,70.85,8.99,5.15,24.12,148.43,7.49
2015-01-01,49.27,374.29,166.75,122.32,36.81,3.93,92.87,4.39,83.14,7.95,1.12,9.13,17.8,62.95,7.88,4.51,28.4,118.46,12.12
2014-01-01,51.52,349.93,165.75,121.24,26.71,3.76,97.07,4.93,74.03,7.53,1.17,8.14,15.92,50.25,6.66,3.79,12.84,95.85,1.4
2013-01-01,50.42,321.56,164.03,123.72,24.39,3.59,101.67,4.96,73.58,6.69,1.16,7.0,13.88,41.75,5.76,3.19,21.31,70.83,7.36
2012-01-01,34.33,1552.68,103.35,83.51,22.86,3.63,100.55,7.15,51.04,8.5,0.42,9.87,15.13,3.9,22.76,2.92,3.4,73.37,-5.39
2011-01-01,40.97,1439.51,82.87,67.67,19.71,3.46,105.49,6.21,58.77,7.09,0.36,8.51,13.96,2.2,22.78,2.49,25.83,86.01,1.55
2010-01-01,42.84,1462.25,107.66,90.61,14.71,4.36,83.71,9.0,40.55,8.35,0.45,8.17,13.04,8.09,17.03,2.25,9.67,71.02,-1.1
2009-01-01,39.56,1410.61,136.02,121.61,7.53,3.0,121.66,6.43,56.76,5.26,0.31,4.36,6.25,-0.65,12.47,1.07,39.37,90.98,3.38
2008-01-01,38.42,1237.44,116.89,101.72,2.34,2.87,127.17,9.85,37.05,8.34,0.47,0.62,0.08,6.13,0.1,0.01,44.04,86.04,8.85
2007-01-01,40.77,1382.34,163.06,146.3,15.21,3.11,117.36,11.11,32.85,12.87,0.69,12.11,19.41,21.78,16.46,3.56,77.2,45.79,13.47
2006-01-01,41.58,1353.89,154.21,133.17,16.53,3.31,110.27,11.16,32.7,13.03,0.81,13.81,22.53,25.75,16.19,4.16,19.03,42.51,-5.21
2005-01-01,42.41,1094.71,254.05,228.32,10.6,3.24,112.65,10.2,35.78,9.97,0.79,13.43,24.49,19.8,15.51,3.99,55.26,43.74,10.9
2004-01-01,58.37,583.3,111.42,98.01,7.78,3.41,107.03,10.51,34.72,9.09,0.78,11.81,26.11,27.45,13.37,4.15,19.29,28.54,6.57
2003-01-01,61.62,459.13,96.95,88.0,6.4,3.26,111.96,9.65,37.82,8.26,0.68,9.08,19.85,29.33,11.34,3.03,14.65,7.57,12.26
2002-01-01,60.56,997.89,355.36,328.01,8.23,3.82,95.54,9.5,38.42,7.95,0.65,9.04,18.56,40.41,9.46,2.72,-56.02,-11.89,-13.15
2001-01-01,49.89,474.41,252.97,209.14,22.11,3.55,102.81,6.34,57.57,5.14,0.79,15.34,26.13,43.39,14.81,3.83,5.01,23.49,-0.26
2000-01-01,34.01,277.96,223.63,176.82,19.15,3.29,110.94,5.62,64.94,4.05,1.06,14.41,24.32,38.63,12.91,3.45,62.91,28.21,21.02
1999-01-01,53.98,196.66,145.79,115.03,11.89,3.54,103.1,6.7,54.47,3.36,0.89,8.83,15.95,24.41,7.04,1.98,-10.46,-33.23,-8.8
