,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,74.18,138.76,124.21,59.82,2.07,6.06,60.23,1.78,205.05,1.25,0.52,2.92,6.32,14.12,3.29,1.30,10.50,17.20,6.21
2016,71.26,111.63,97.33,42.75,0.67,6.10,59.83,1.88,194.14,1.21,0.52,0.36,-1.98,-0.82,-1.16,-0.22,-0.16,11.93,-0.87
2015,67.91,118.73,104.20,47.72,1.94,5.41,67.46,1.81,201.65,1.03,0.49,1.94,3.82,15.87,2.62,0.73,2.92,24.80,1.35
2014,64.88,156.55,139.30,66.01,2.09,5.80,62.93,2.27,160.79,1.39,0.61,2.19,4.17,12.86,2.47,0.28,-3.14,19.30,-2.27
2013,62.88,119.60,134.89,66.20,4.55,6.22,58.68,2.65,137.73,1.64,0.70,4.32,13.48,25.98,5.02,1.68,6.05,12.37,1.88
2012,41.92,295.44,165.66,122.60,6.40,5.46,66.84,11.64,31.35,1.62,0.48,3.96,5.72,5.75,6.60,1.09,28.86,20.48,0.64
2011,40.49,300.15,187.31,141.73,34.62,5.22,69.92,13.23,27.58,1.93,0.54,14.37,24.65,9.15,25.89,4.15,37.74,23.89,1.62
2010,46.54,277.53,102.86,84.01,11.24,5.48,66.60,13.08,27.90,1.81,0.57,7.52,12.63,6.41,12.14,1.89,-2.04,24.89,-2.80
2009,43.47,213.61,105.61,81.71,10.29,5.33,68.48,10.88,33.54,1.33,0.56,9.36,16.17,10.72,15.51,2.79,26.49,38.06,4.55
2008,50.64,186.29,160.06,123.05,7.78,6.39,57.12,9.27,39.37,1.74,0.78,10.09,18.30,20.99,11.57,3.13,36.98,23.1,4.77
2007,50.23,158.61,98.52,62.45,3.63,4.39,83.14,3.79,96.30,1.75,0.67,4.32,7.56,7.31,5.62,1.18,35.77,16.4,12.16
2006,49.77,235.30,184.45,98.33,7.45,5.09,71.70,3.63,100.55,3.13,0.95,6.57,12.21,16.01,6.46,1.94,16.01,5.14,3.66
2005,49.29,221.63,138.04,70.49,4.92,4.23,86.28,3.72,98.11,3.14,0.94,3.86,6.80,16.30,3.49,1.02,16.96,4.6,6.23
2004,54.13,219.56,142.81,79.29,8.57,4.49,81.29,6.27,58.21,3.47,1.07,7.21,12.99,19.74,6.34,1.92,,,
2003,39.10,246.34,176.14,140.07,12.39,4.60,79.34,14.28,25.56,3.95,1.20,8.34,12.99,16.16,6.44,2.03,,42.63,
2002,42.48,209.73,128.32,104.54,7.71,4.58,79.69,12.01,30.39,3.78,1.25,9.76,16.31,23.98,6.82,2.43,19.17,61.72,7.50
2001,54.22,160.49,140.61,117.29,3.00,4.51,80.93,11.63,31.38,3.43,1.34,6.49,9.33,17.28,3.33,1.24,22.34,39.13,8.76
2000,49.39,148.48,132.89,106.77,5.51,4.33,84.29,12.30,29.67,3.41,1.46,8.92,13.89,22.91,5.13,1.81,12.75,29.24,1.74
1999,41.98,167.45,209.89,172.74,5.43,4.41,82.76,12.32,29.62,3.39,1.48,9.84,14.92,25.48,5.51,2.03,10.37,8.37,
1998,49.07,155.34,163.57,135.19,4.06,4.21,86.69,10.46,34.89,2.94,1.34,8.64,16.21,22.69,5.29,2.07,8.24,0.11,3.61
