,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,63.36,220.27,143.28,101.9,2.34,2.71,134.68,4.53,80.57,1.73,0.6,-0.28,-2.24,5.31,-1.45,-0.92,37.17,127.9,8.02
2016-01-01,58.96,208.49,177.28,132.51,5.57,2.9,125.86,5.13,71.15,1.67,0.63,4.49,9.21,26.07,5.74,1.66,57.64,142.63,9.19
2015-01-01,62.2,174.23,120.33,87.54,3.44,2.86,127.62,4.96,73.58,1.58,0.65,2.67,4.31,18.2,2.47,1.2,26.79,65.65,7.97
2014-01-01,62.67,161.75,143.68,105.19,1.55,3.16,115.5,5.79,63.03,1.58,0.71,1.55,-0.12,6.78,-0.06,0.28,24.29,34.01,6.37
2013-01-01,66.39,162.83,158.5,119.23,-0.99,2.97,122.89,5.21,70.05,1.26,0.59,-1.91,-9.61,-21.49,-5.69,-0.73,22.47,29.69,5.02
2012-01-01,40.62,359.56,172.93,126.85,-10.89,3.63,100.55,6.09,59.93,1.7,0.41,-4.86,-9.02,1.78,-12.97,-1.75,56.54,52.36,6.39
2011-01-01,42.04,361.95,172.32,121.86,-9.99,3.87,94.31,5.43,67.21,1.68,0.4,-3.9,-6.98,11.07,-10.39,-1.45,56.08,42.0,4.02
2010-01-01,35.71,359.96,113.87,77.27,22.11,4.12,88.59,7.16,50.97,1.92,0.44,10.81,16.76,13.3,21.23,3.33,39.83,49.61,7.44
2009-01-01,41.32,489.19,138.72,109.29,1.8,3.66,99.72,6.5,56.15,2.64,0.44,1.44,1.26,4.21,1.66,0.23,29.76,59.61,3.58
2008-01-01,43.44,457.85,154.95,108.91,3.2,3.49,104.58,4.88,74.79,2.25,0.41,2.67,3.23,2.49,4.28,0.58,45.06,46.54,6.13
2007-01-01,40.54,342.3,132.42,89.06,7.32,3.45,105.79,5.12,71.28,2.16,0.49,5.58,8.63,6.54,9.08,1.6,3.29,42.23,7.94
2006-01-01,46.04,372.87,231.57,167.44,4.68,3.26,111.96,5.31,68.73,2.45,0.55,5.44,9.36,15.1,8.36,1.72,70.68,48.04,10.88
2005-01-01,57.29,319.59,204.62,158.26,1.04,3.75,97.33,4.55,80.21,2.26,0.58,1.13,0.18,9.47,0.13,0.03,18.07,27.57,2.94
2004-01-01,57.53,266.06,146.85,87.52,2.46,3.4,107.35,2.73,133.69,1.73,0.48,4.75,8.42,25.49,7.1,1.53,15.11,23.36,3.71
2003-01-01,55.3,329.07,179.46,105.48,4.62,3.26,111.96,2.48,147.17,1.86,0.44,7.68,13.96,29.47,12.38,2.76,24.88,26.41,5.34
2002-01-01,53.28,286.86,186.58,107.5,298.0,3.43,106.41,2.63,138.78,1.82,0.49,5.95,8.29,28.35,7.6,1.53,47.06,25.72,10.83
2001-01-01,51.15,263.7,199.84,125.62,376.9,3.02,120.86,2.22,164.41,1.41,0.42,6.29,8.95,21.82,9.92,1.77,17.44,18.11,2.8
2000-01-01,39.58,254.04,167.72,101.53,1073.82,4.36,83.71,2.92,125.0,2.65,0.71,14.79,24.95,63.67,15.29,4.64,12.48,20.94,5.11
1999-01-01,56.46,173.01,137.92,86.78,1013.24,4.32,84.49,2.9,125.86,2.5,0.78,15.09,30.33,52.32,14.69,4.02,28.97,20.46,19.35
1998-01-01,52.21,153.12,157.03,81.4,433.97,4.75,76.84,2.91,125.42,1.69,0.72,11.34,20.63,34.46,10.24,2.25,-21.24,2.79,-9.35
