,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,16.13,319.72,302.59,236.61,290995.34,7.39,49.39,10.65,34.27,2.91,0.88,13.01,15.55,45.14,14.76,3.64,128.09,243.69,8.39
2016,16.63,267.77,269.18,210.47,66212.09,7.68,47.52,9.98,36.57,2.41,0.83,10.73,12.97,33.28,12.95,2.65,108.92,175.68,7.07
2015,18.17,249.40,268.54,199.07,10068.68,8.68,42.05,9.72,37.55,2.36,0.84,7.02,8.98,21.42,8.25,1.62,159.21,158.13,11.55
2014,26.80,238.68,172.39,125.97,2479.60,8.71,41.90,11.45,31.87,2.75,0.99,2.10,2.72,8.14,2.02,0.31,60.84,141.12,4.90
2013,26.88,230.34,193.28,136.00,6916.80,9.10,40.10,9.95,36.68,2.84,1.08,8.98,12.58,28.15,8.22,2.15,120.30,152.71,11.79
2012,30.21,184.54,103.13,43.72,6185.46,11.20,32.58,10.97,33.27,2.16,0.89,8.90,12.49,-0.93,9.91,1.92,17.27,49.00,-0.01
2011,28.85,190.30,98.02,58.26,4226.87,13.57,26.89,15.71,23.23,2.66,1.05,6.18,8.40,4.54,5.77,1.23,49.72,64.32,2.55
2010,27.05,209.98,111.68,55.22,8014.09,12.15,30.04,15.62,23.36,2.47,0.96,12.18,16.78,5.28,12.57,2.31,30.88,74.84,2.36
2009,29.31,212.11,110.24,72.78,3997.24,12.32,29.62,17.72,20.59,2.10,0.83,16.93,27.50,10.26,20.02,3.31,48.62,99.15,5.23
2008,51.37,163.40,63.55,52.98,-1457.09,11.56,31.57,16.86,21.64,2.62,0.84,-13.32,-27.17,-10.10,-16.76,-3.28,2.32,136.27,0.65
2007,46.12,306.03,179.59,143.77,847.67,9.26,39.41,16.08,22.69,3.73,1.06,7.92,13.57,8.35,6.67,1.82,18.91,228.91,3.00
2006,48.26,259.36,127.43,92.69,830.32,8.23,44.34,15.62,23.36,3.02,1.01,7.09,12.75,11.96,6.36,1.38,33.46,364.72,4.47
2005,51.49,227.89,113.13,76.01,244.11,9.19,39.71,14.02,26.03,2.68,0.97,2.96,4.48,1.17,2.02,0.40,35.80,358.9,4.39
2004,60.71,201.25,96.67,62.63,589.09,9.27,39.37,14.96,24.39,2.61,0.99,8.26,20.18,17.07,7.22,1.56,49.23,345.84,8.44
2003,68.20,179.67,101.83,78.49,,5.93,61.55,14.08,25.92,1.75,0.65,-6.64,-22.84,6.65,-12.27,-1.92,30.24,327.95,4.98
2002,61.13,185.67,65.11,47.32,0.00,5.66,64.48,10.36,35.23,1.11,0.44,-10.75,-27.05,-4.74,-27.93,-3.10,6.47,70.23,1.48
2001,48.30,211.91,159.50,128.88,371.69,7.42,49.19,14.88,24.52,1.75,0.65,7.28,10.81,14.78,8.93,1.31,46.32,55.93,5.39
2000,44.57,244.37,203.98,169.39,226.15,7.11,51.33,12.85,28.40,1.53,0.55,4.11,4.53,11.69,4.50,0.48,68.91,70.39,5.98
1999,45.69,206.99,101.64,84.80,,6.06,60.23,8.64,42.24,1.13,0.37,-12.04,-20.80,-1.12,-35.00,-2.46,6.40,61.65,1.36
1998,20.01,277.09,169.88,116.83,2527.17,11.57,31.55,9.86,37.02,1.70,0.48,4.09,4.78,0.43,8.31,0.64,3.44,137.14,0.37
1997,13.69,339.36,484.59,388.50,7209.40,16.54,22.06,9.47,38.54,2.78,0.76,15.45,17.57,24.00,20.22,2.53,215.68,177.78,13.52
1996,11.93,325.31,432.14,247.79,3837.85,11.21,32.56,8.12,44.95,2.03,0.58,9.24,10.28,11.37,15.09,1.37,106.92,133.42,5.26
1995,8.95,324.23,474.47,298.49,1915.33,10.07,36.25,10.83,33.70,1.86,0.52,3.04,3.30,4.34,5.73,0.40,156.17,97.94,6.71
1994,11.95,331.96,306.39,258.78,999.77,11.23,32.50,10.11,36.10,2.06,0.55,1.53,1.55,0.98,2.50,0.17,55.24,34.56,4.16
