,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,61.97,261.24,104.76,30.74,152.06,9.04,40.37,0.04,9125.00,0.19,0.05,0.88,1.16,1.04,9.21,0.15,-4.93,18.30,0.13
2016,59.72,194.22,61.19,19.12,284.55,19.88,18.36,0.24,1520.83,0.49,0.12,1.09,1.63,2.92,5.49,0.21,0.50,14.63,0.41
2015,60.16,246.80,83.69,22.14,364.26,22.32,16.35,0.25,1460.00,0.47,0.12,1.99,3.59,4.51,12.03,0.46,6.01,13.76,-0.38
2014,57.46,199.03,69.39,22.26,705.39,31.19,11.70,0.43,848.83,0.69,0.18,3.74,7.59,9.61,17.39,0.97,18.52,14.42,9.21
2013,57.15,209.05,95.32,30.42,529.44,16.08,22.69,0.25,1460.00,0.46,0.13,2.42,4.43,6.17,15.05,0.57,-9.99,-16.20,-9.98
2012,43.94,127.55,35.79,31.36,1626.04,141.08,2.58,38.24,9.54,0.87,0.47,3.39,5.49,8.93,6.59,0.72,17.69,78.49,-1.07
2011,41.04,113.85,33.87,30.00,2158.34,305.17,1.19,44.83,8.14,0.88,0.52,3.56,5.64,7.78,6.04,0.70,9.24,94.07,-2.15
2010,38.55,138.36,29.84,24.83,2425.24,381.57,0.95,43.39,8.41,1.14,0.61,4.65,7.58,8.48,7.32,0.84,30.52,106.53,6.86
2009,43.84,156.60,51.98,42.75,1622.96,325.44,1.12,34.87,10.46,1.07,0.57,4.06,6.34,7.38,6.30,0.68,45.39,105.55,-0.22
2008,34.82,118.38,26.84,19.72,1642.16,245.68,1.48,33.07,11.03,1.12,0.69,7.63,11.24,11.72,10.80,1.24,26.10,125.34,-2.24
2007,37.30,125.95,41.32,34.90,1914.89,163.00,2.23,37.82,9.65,1.22,0.71,8.69,13.77,14.40,11.97,1.52,37.42,144.32,0.99
2006,42.81,134.37,50.39,44.19,1922.42,161.42,2.26,36.80,9.91,1.25,0.70,7.45,12.49,16.98,10.27,1.36,40.37,146.19,-0.71
2005,44.48,124.30,42.23,37.16,1923.95,278.67,1.30,36.41,10.02,1.35,0.74,8.11,14.69,18.77,10.67,1.56,47.29,63.33,10.89
2004,50.71,117.43,40.53,35.64,1293.85,196.54,1.85,39.92,9.14,1.27,0.68,6.19,12.68,16.85,8.53,1.21,25.91,49.91,14.22
2003,59.04,110.86,36.15,33.30,1131.11,124.62,2.92,46.58,7.83,1.19,0.62,7.20,16.87,12.57,10.57,1.28,23.40,52.61,14.53
2002,62.88,163.01,103.76,92.47,708.42,96.45,3.78,47.84,7.62,1.16,0.63,5.54,11.05,14.34,9.51,1.28,87.51,51.57,2.42
2001,52.41,249.63,277.47,264.98,617.95,103.14,3.53,49.56,7.36,1.22,0.45,6.87,10.71,17.34,11.25,1.36,39.99,60.45,-1.46
2000,34.82,163.19,162.13,153.33,1886.87,210.18,1.73,55.47,6.58,1.31,0.69,5.65,7.46,19.14,7.08,0.94,78.90,149.04,6.73
1999,21.48,126.52,120.81,112.93,95492.40,397.21,0.91,61.58,5.92,1.69,1.10,7.64,9.96,18.40,7.11,1.39,97.02,110.31,8.09
1998,20.11,114.39,85.59,74.46,15518.35,212.19,1.72,56.19,6.50,1.54,1.12,9.36,15.39,18.70,10.25,2.21,80.72,101.59,14.76
1997,29.68,101.87,84.69,84.42,10.28,91.85,3.97,68.21,5.35,1.55,1.19,9.24,13.88,24.97,6.62,1.96,82.80,70.74,19.39
1996,49.39,88.86,47.93,39.13,4.70,56.94,6.41,68.21,5.35,1.37,1.16,6.85,12.06,27.52,4.67,1.77,58.39,45.16,13.31
1995,60.30,84.79,56.03,52.07,13.18,36.97,9.87,48.45,7.53,0.76,0.65,3.38,6.43,14.43,4.85,1.08,27.75,28.44,12.25
1994,35.48,74.01,18.07,13.98,789.44,48.09,7.58,53.22,6.86,0.81,0.74,4.07,6.58,15.98,5.47,1.03,23.43,23.62,8.96
