,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,38.33,218.52,156.98,101.12,13.2,5.57,65.52,2.61,139.84,2.25,0.69,3.46,4.85,11.23,4.59,0.86,6.96,84.72,-3.3
2016-01-01,30.73,248.05,386.61,263.04,7.39,4.39,83.14,2.8,130.35,2.04,0.68,0.37,0.16,5.22,0.17,0.03,113.89,79.0,26.52
2015-01-01,28.38,254.64,401.48,289.6,31.09,3.88,94.07,2.82,129.43,1.97,0.69,10.12,13.78,31.35,14.16,2.66,68.16,70.71,20.87
2014-01-01,29.43,190.93,190.35,121.26,42.49,4.06,89.9,2.52,144.84,1.77,0.67,10.26,14.2,32.37,15.04,2.77,35.57,65.85,25.38
2013-01-01,29.5,221.21,377.68,241.98,71.56,3.72,98.11,2.34,155.98,1.75,0.67,13.74,18.97,43.27,20.27,3.77,126.45,75.12,34.67
2012-01-01,26.76,268.06,544.34,337.0,209.88,3.48,104.88,2.27,160.79,2.27,0.74,21.47,27.79,61.24,25.8,5.4,152.17,72.6,36.83
2011-01-01,18.37,308.12,410.24,263.13,13235.51,4.11,88.8,2.61,139.84,3.3,0.88,25.69,31.16,60.09,28.07,4.86,73.21,91.7,34.24
2010-01-01,16.66,282.82,436.77,306.87,3172.31,5.81,62.82,2.89,126.29,3.04,0.9,24.31,29.28,60.09,25.94,4.86,151.51,121.36,41.1
2009-01-01,17.33,293.63,433.58,311.37,0.0,6.32,57.75,2.66,137.21,2.87,0.81,19.92,23.87,52.24,22.69,3.42,138.07,121.71,31.36
2008-01-01,15.63,316.79,444.3,296.89,0.0,7.06,51.69,2.46,148.37,2.98,0.79,18.54,21.77,43.77,23.89,3.42,0.0,0.0,0.0
2007-01-01,14.07,438.98,520.33,388.51,0.0,7.61,47.96,2.37,154.0,3.62,0.71,27.9,32.87,53.28,35.72,4.86,174.28,143.8,36.26
2006-01-01,16.37,372.75,420.77,301.77,57348.83,6.19,58.96,2.63,138.78,3.33,0.76,24.92,30.57,41.99,30.41,4.25,180.38,130.85,40.87
2005-01-01,20.97,306.6,299.8,199.3,0.0,5.5,66.36,2.9,125.86,2.8,0.7,16.2,19.6,18.8,20.5,2.51,95.1,86.5,33.8
2004-01-01,13.3,451.1,496.6,338.6,28458.7,5.6,65.17,2.2,165.9,3.1,0.6,16.7,19.4,19.3,26.7,2.33,176.7,98.2,26.4
2003-01-01,14.5,901.2,562.7,409.0,670.3,3.7,98.64,2.37,154.0,6.3,0.6,18.2,20.9,24.1,26.9,2.64,249.2,95.9,39.16
2002-01-01,11.1,872.1,701.3,489.1,0.0,2.38,153.36,2.26,161.5,5.4,0.6,13.3,15.2,14.7,22.6,1.89,95.3,63.4,10.7
2001-01-01,14.2,1581.2,525.6,323.7,10828.0,2.64,138.25,3.0,121.66,10.1,0.5,21.5,25.0,25.1,34.8,3.41,29.2,45.1,4.5
2000-01-01,13.35,2502.1,635.0,537.8,1131.6,4.25,85.88,4.15,87.95,16.5,0.6,16.6,18.7,28.3,25.9,2.72,156.2,136.7,24.5
1999-01-01,8.8,2439.2,971.1,869.6,122.5,33.8,10.79,3.2,114.06,9.1,0.3,5.5,5.9,2.2,12.6,0.73,87.8,64.3,8.1
1998-01-01,7.4,1825.6,1046.1,812.9,0.0,34.4,10.61,1.1,331.81,4.0,0.2,0.8,0.9,-3.2,4.0,0.09,0.0,0.0,0.0
