,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,19.15,303.32,409.39,304.89,30.63,4.92,74.18,4.3,84.88,3.86,1.03,0.26,0.31,0.9,0.25,0.1,38.16,173.83,1.39
2016-01-01,22.03,365.21,372.12,258.23,503.13,7.17,50.9,5.03,72.56,6.69,1.43,5.26,6.97,20.99,3.87,1.67,23.92,207.66,-2.64
2015-01-01,27.17,397.15,308.56,212.24,268.59,7.33,49.79,4.52,80.75,5.98,1.1,8.41,11.25,31.38,7.31,2.66,9.9,181.19,-2.95
2014-01-01,23.61,435.63,364.06,278.67,146.02,5.37,67.97,3.96,92.17,4.68,0.82,6.17,8.55,22.58,7.41,1.91,46.37,157.55,5.97
2013-01-01,24.14,463.17,356.52,282.9,205.05,5.05,72.27,4.77,76.51,5.53,0.91,8.86,11.35,28.2,9.24,2.44,34.4,1.08,0.04
2012-01-01,14.48,825.76,540.72,491.62,655.12,4.28,85.28,11.51,31.71,9.65,1.0,6.35,7.64,22.26,6.61,1.61,68.04,130.65,0.89
2011-01-01,19.27,821.92,394.83,354.72,3223.95,5.81,62.82,13.82,26.41,12.86,1.26,10.82,13.38,26.71,8.45,2.82,60.4,166.48,1.85
2010-01-01,19.09,778.6,408.5,373.57,10978.0,4.74,77.0,16.23,22.48,10.98,1.14,12.49,15.75,47.79,11.03,3.24,212.09,193.32,31.73
2009-01-01,22.25,761.5,357.8,335.72,2968.0,4.2,86.9,11.51,31.71,10.72,1.1,13.62,17.69,40.04,12.42,3.55,-22.74,130.89,-18.48
2008-01-01,23.92,721.4,344.2,307.58,1363.23,4.1,89.02,10.52,34.69,11.07,1.17,19.43,26.35,57.69,16.11,4.89,84.93,217.92,11.83
2007-01-01,28.87,603.95,274.9,242.7,1936.13,4.86,75.1,12.21,29.89,11.11,1.31,29.87,42.2,88.34,19.51,7.53,77.18,221.49,35.15
2006-01-01,25.78,429.9,292.05,258.37,515.62,4.82,75.72,6.87,53.12,6.43,1.22,15.94,21.17,39.44,13.02,3.24,71.56,139.24,17.53
2005-01-01,23.66,360.5,286.73,219.08,278.94,4.18,87.32,4.56,80.04,3.86,0.94,6.11,10.64,22.63,8.6,1.52,33.73,125.36,8.22
2004-01-01,23.8,271.62,264.96,207.73,216.79,4.2,86.9,5.61,65.06,3.13,0.91,4.08,7.07,20.35,5.94,1.01,30.09,96.88,5.3
2003-01-01,23.16,253.98,257.32,213.08,238.4,5.12,71.28,6.01,60.73,2.93,0.99,11.72,14.96,27.91,11.76,2.25,64.8,85.47,15.48
2002-01-01,20.54,208.2,261.17,202.56,66.48,4.94,73.88,4.63,78.83,1.88,0.8,5.82,6.98,16.54,7.16,1.02,63.93,72.69,12.44
2001-01-01,14.0,178.0,307.0,233.0,9.0,5.0,73.0,4.0,91.25,1.63,0.8,6.63,7.77,15.19,7.45,1.22,118.95,71.9,16.63
2000-01-01,32.37,146.49,150.21,76.76,27.12,9.61,37.98,5.3,68.86,2.48,1.22,16.5,23.92,37.77,13.12,3.77,44.32,62.95,13.21
1999-01-01,33.84,156.57,185.82,128.62,34.85,12.75,28.62,5.34,68.35,2.78,1.24,20.15,28.36,56.75,15.83,4.76,68.19,70.43,20.09
1998-01-01,26.35,186.31,221.48,162.44,41.57,13.31,27.42,5.26,69.39,3.72,1.5,21.45,29.5,63.61,13.96,4.84,96.87,84.31,29.56
1997-01-01,32.84,161.07,165.27,89.21,17.57,11.62,31.41,4.71,77.49,3.43,1.53,20.1,34.45,49.14,12.39,4.93,52.2,49.45,19.14
1996-01-01,62.97,86.18,74.44,30.82,7.56,8.56,42.64,3.55,102.81,2.29,1.11,11.34,26.72,80.68,8.89,5.64,8.57,28.43,9.32
