,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,53.13,409.04,145.97,66.79,692.53,3.98,91.7,2.02,180.69,5.95,0.78,2.04,3.39,4.75,2.24,0.39,0.0,15.62,-1.52
2016-01-01,45.5,411.04,164.5,78.12,632.89,3.96,92.17,1.78,205.05,4.96,0.72,1.55,2.37,2.92,1.83,0.27,0.0,12.57,-0.77
2015-01-01,41.76,411.23,171.5,81.55,799.57,4.19,87.11,1.58,231.01,4.17,0.67,1.11,1.58,1.92,1.45,0.18,0.0,11.7,-1.94
2014-01-01,32.52,421.64,263.53,114.14,3487.0,4.09,89.24,1.37,266.42,3.47,0.61,0.72,1.06,1.55,0.99,0.12,0.0,13.62,0.0
2013-01-01,34.16,411.35,254.68,137.38,-1417.31,4.26,85.68,1.62,225.3,3.96,0.68,-0.39,-0.66,-0.8,-0.61,-0.07,17.01,42.03,5.68
2012-01-01,34.5,368.49,201.88,85.64,851.27,6.25,58.4,1.58,231.01,3.41,0.62,0.17,0.21,1.49,0.24,0.02,0.0,95.5,-2.89
2011-01-01,27.94,377.38,239.58,132.36,51968.13,5.74,63.58,1.73,210.98,2.92,0.56,1.69,2.34,2.14,2.99,0.26,0.0,339.44,0.0
2010-01-01,28.0,365.19,263.56,171.04,23622.26,4.78,76.35,2.19,166.66,2.89,0.59,1.59,2.15,3.31,2.69,0.23,29.18,445.97,8.31
2009-01-01,25.04,357.76,300.48,193.17,-123060.22,4.9,74.48,2.69,135.68,2.8,0.57,-4.51,-5.95,-0.84,-7.9,-0.66,5.09,533.32,1.12
2008-01-01,23.31,322.49,307.54,192.14,133.73,3.39,107.66,2.55,143.13,2.5,0.48,0.44,0.21,2.56,0.26,0.02,130.91,329.76,27.65
2007-01-01,51.38,424.03,257.11,190.18,-599.93,1.88,194.14,1.78,205.05,1.87,0.26,-7.54,-17.81,-11.88,-32.72,-2.05,99.37,154.39,37.26
2006-01-01,53.62,480.85,182.64,67.77,113.89,3.51,103.98,2.45,148.97,4.19,3.66,0.73,0.13,6.93,0.14,0.02,0.0,0.0,0.0
2005-01-01,54.41,451.59,167.02,65.1,-75354.63,3.18,114.77,2.92,125.0,4.19,0.5,-5.63,-12.89,-4.48,-12.48,-1.7,0.0,13.54,-2.97
2004-01-01,49.98,498.29,180.2,83.63,315.72,2.66,137.21,4.24,86.08,5.7,0.67,0.89,1.16,7.33,0.85,0.16,0.0,10.86,-2.75
2003-01-01,46.23,485.12,197.17,132.92,1060.2,2.3,158.69,3.5,104.28,5.62,0.73,3.41,5.39,10.63,4.04,0.8,0.0,10.28,-0.02
2002-01-01,38.46,428.14,191.27,123.64,779.14,2.77,131.76,3.59,101.67,5.32,0.76,2.07,2.88,8.49,2.29,0.46,0.0,16.11,0.0
2001-01-01,34.27,423.07,215.36,132.18,1223.35,3.85,94.8,3.86,94.55,5.92,0.92,6.01,7.93,16.2,5.47,1.45,12.29,26.03,6.22
2000-01-01,23.77,450.03,289.09,177.8,1398.0,3.58,101.95,3.26,111.96,4.93,0.84,10.1,14.85,20.56,10.12,2.1,0.0,17.55,0.0
1999-01-01,52.3,264.94,130.99,77.34,1118.22,4.35,83.9,3.42,106.72,4.69,0.85,8.48,14.92,23.58,7.81,2.2,0.0,39.09,0.0
1998-01-01,41.68,280.13,154.63,94.24,601.22,5.09,71.7,3.19,114.42,4.63,0.97,6.81,9.71,33.08,5.24,1.6,8.6,49.61,5.87
1997-01-01,42.55,212.56,139.72,84.12,902.21,3.98,91.7,2.51,145.41,3.0,0.81,13.89,23.53,37.43,14.51,5.46,23.51,51.85,15.27
