,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,28.37,327.19,314.23,296.08,-2.96,3.46,105.49,11.47,31.82,1.60,0.38,-1.09,-2.13,-1.86,-3.62,-0.18,-11.57,20.77,-2.81
2016,33.59,285.45,225.42,205.78,-29.79,2.11,172.98,13.29,27.46,1.33,0.34,-10.74,-18.19,-17.81,-32.44,-1.75,26.74,28.84,9.28
2015,28.11,248.05,266.23,247.44,-7.06,2.87,127.17,17.50,20.85,2.72,0.51,-2.56,-4.18,-3.54,-5.42,-0.44,-37.03,50.65,-10.88
2014,27.95,787.95,282.06,260.14,17.99,3.47,105.18,16.63,21.94,6.20,0.63,3.98,5.07,6.26,6.02,0.53,8.78,154.37,3.62
2013,22.68,687.68,333.40,319.22,59.32,3.17,115.14,12.58,29.01,5.50,0.69,5.27,7.07,6.85,7.54,0.69,33.36,207.50,10.37
2012,21.11,430.75,249.40,214.66,-1375.62,3.32,109.93,10.85,33.64,5.68,0.83,-14.84,-18.46,11.46,-17.86,-1.99,42.53,422.65,7.28
2011,18.37,695.45,244.80,215.01,444.89,3.62,100.82,14.60,25.00,8.09,0.93,2.49,3.14,13.19,2.65,0.37,60.69,350.62,9.05
2010,23.66,676.39,189.10,166.26,387.11,3.84,95.05,16.73,21.81,8.91,1.05,3.06,3.88,19.08,2.91,0.46,53.98,304.19,13.41
2009,18.98,668.44,266.21,240.22,18.88,2.81,129.89,13.08,27.90,6.30,0.75,1.89,2.42,15.17,2.28,0.30,89.34,207.48,18.00
2008,38.29,525.36,131.93,119.65,20.76,3.52,103.69,13.42,27.19,6.89,0.93,5.98,9.00,32.10,6.08,1.15,32.40,133.85,17.39
2007,35.58,497.69,201.52,173.14,16.03,3.35,108.95,10.09,36.17,5.68,0.91,3.75,5.32,29.38,3.77,0.68,75.53,111.6,11.31
2006,35.38,398.50,145.83,123.96,4895.10,3.25,112.30,10.07,36.24,5.02,0.96,11.00,15.42,30.18,11.22,2.00,27.14,109.83,6.72
2005,22.81,340.46,296.51,265.22,21467.28,3.19,114.42,10.36,35.23,4.28,0.97,17.17,22.39,37.55,16.81,3.06,66.50,107.28,7.19
2004,24.51,331.72,323.50,286.65,10551.52,3.19,114.42,12.17,29.99,3.90,0.93,15.46,21.31,37.30,16.20,2.75,69.86,92.21,7.51
2003,31.72,353.77,318.57,300.04,5110.00,3.29,110.94,15.25,23.93,3.73,0.82,16.02,22.97,40.89,17.90,3.16,64.61,106.91,9.60
2002,31.56,366.45,263.67,240.17,1498.00,3.30,110.60,13.93,26.20,3.58,0.79,9.23,13.67,23.09,9.67,1.51,60.43,75.29,11.72
