,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,61.53,282.25,135.95,109.71,10.60,2.80,130.35,7.39,49.39,8.41,1.19,1.54,3.36,7.57,1.15,0.51,3.69,98.21,-7.15
2016,57.31,370.04,154.72,123.44,54.42,3.37,108.30,7.01,52.06,7.54,1.16,7.67,17.10,31.38,6.50,2.71,18.71,132.46,8.59
2015,54.39,361.17,187.53,146.75,37.47,3.49,104.58,6.37,57.29,6.78,1.15,6.12,12.11,23.55,5.18,1.90,23.49,139.31,5.68
2014,46.91,314.87,177.64,139.32,69.97,3.15,115.87,7.25,50.34,7.02,1.25,7.97,15.69,26.96,6.31,2.38,46.15,148.47,23.64
2013,52.71,302.47,171.63,136.79,49.15,3.18,114.77,8.48,43.04,7.38,1.31,7.41,16.51,24.55,5.13,2.34,14.31,117.17,3.70
2012,54.69,531.24,118.66,106.38,23.90,3.34,109.28,19.03,19.18,12.99,1.26,8.80,18.64,6.96,6.41,2.21,31.04,247.79,21.73
2011,54.51,472.95,119.46,105.66,13.22,3.78,96.56,21.32,17.12,13.19,1.48,4.99,10.41,4.22,2.98,1.10,10.32,106.58,8.96
2010,56.41,374.11,113.33,98.90,6.34,3.22,113.35,17.94,20.34,8.80,1.24,1.85,3.45,-4.90,1.21,0.34,-8.44,16.95,-7.16
2009,55.96,379.16,114.96,100.88,-5.18,2.55,143.13,15.57,23.44,6.53,0.93,-4.24,-10.54,-8.63,-4.97,-1.18,9.03,73.85,7.34
2008,53.38,328.65,118.73,107.98,-8.03,2.81,129.89,17.12,21.32,6.96,1.07,-8.30,-17.66,-6.39,-8.57,-2.28,15.61,77.11,10.33
2007,42.36,388.32,168.40,149.86,5.45,4.40,82.95,16.93,21.55,9.97,1.59,5.14,7.17,12.56,2.49,0.99,-14.00,30.97,-8.12
2006,41.32,357.66,174.52,140.03,5.23,4.40,82.95,13.90,26.25,6.72,120.52,5.30,7.24,19.36,3.42,1.06,0.00,0.31,-0.01
